question,answer,school,stage,category,risk_level,source_url,updated_at
A11. I am now studying the first year of a master’s degree overseas and I wish to transfer my study to CityUHK. Can the credits that I earned be transferred to the CityUHK programme?,"If you have studied similar courses at a recognised post-secondary institution, you may be eligible for credit transfer to meet some of the programme requirements. Applications for credit transfer for coursework completed prior to entry to the University must be made in the first semester following admission, before the deadline set by the University. Transferred credit units must have been earned no earlier than eight years before enrolment at the University. Individual academic units may stipulate a more stringent requirement for transferred credit units, as deemed appropriate. Please contact the programme offering academic unit for more details. Transferred credits will not be counted in the calculation of the Grade Point Average (GPA) and classification of the award. Credit transfer should be limited to a maximum of 30% of the total credit units for the award being pursued. B - Academic Programmes & Study Mode",CityU,general,offer_acceptance,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
B01. Which programmes invite applications?,"Information about the programmes that are open for applications is available at the online programme list. If you have questions concerning the curriculum and other programme information, please contact the relevant academic unit directly.",CityU,general,general,low,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
B02. What are the differences between master's programmes and research degree programmes?,"Master's programmes focus more on coursework, some programmes may require the completion of a project or dissertation. MPhil and PhD research degrees consist of both coursework and independent research studies culminating in the submission of a thesis. For details, please refer to the website of the Chow Yei Ching School of Graduate Studies. B03. Can I apply for programmes offered in 'combined mode'? (applicable to non-local applicants) Non-local applicants will be admitted to these programmes for either full-time or part-time studies. Non-local students must maintain the required credit load for their full-time or part-time studies and any changes will require approval from the University. C - Status of Applicants",CityU,general,offer_acceptance,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
C01. Am I a local or a non-local applicant?,"The definitions of non-local applicants and local applicants are set out below (with effect from Semester A 2019/20 entry): Non-local Applicants Persons holding the following documents issued by Immigration Department (IMMD) of the HKSAR are classified as non-local applicants: Student visa / entry permit; or Visa / entry permit under the Immigration Arrangements for Non-local Graduates (IANG Visa); or Dependant visa / entry permit for applicants who were 18 years old or above when they were issued with such visa / entry permit by IMMD For information about student visa/entry permit, please visit the official website of IMMD of the Hong Kong Special Administrative Region (HKSAR). Local Applicants Persons holding any of the following documents issued by Immigration Department (IMMD) of the HKSAR are classified as local applicants: Hong Kong Identity Card (Permanent) Documents issued by IMMD showing right to land / right of abode in Hong Kong One-way permit for entry to Hong Kong Full-time employment visa / work permit (for part-time study) Dependant visa / entry permit for applicants who were below 18 years old when they were first issued with such visa / entry permit by IMMD",CityU,general,visa,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
C02. What should I do if I have wrongly identified myself in my application as a local or non-local applicant?,"If you have wrongly identified yourself as a local or non-local applicant, you should notify the Chow Yei Ching School of Graduate Studies in writing as soon as possible. Please provide your name, application number, a copy of your Hong Kong Identity Card and a copy of your student visa / entry permit (if any). It will take 7 working days to update your status in our application system. You may login your application account for checking. The personal information collected by the University will be used for the purpose of record verification and processing of your application. Such information may be transferred to relevant parties within the University or to government departments for various types of processing related to your application. Your personal data will be retained only for as long as necessary to fulfil the purposes for which it was collected and in accordance with the University’s record retention policies. For details, please refer to the Privacy Policy Statement and Personal Information Collection Statement related to your admission application. D - Entrance Requirements",CityU,general,visa,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
D01. What are the entrance requirements for admission to the University? How do I know whether I meet the entrance requirements for a particular programme?,"For admission to the programmes offered by the University, applicants must meet the General Entrance Requirements AND Programme Entrance Requirements AND / OR English Proficiency Requirements as specified for individual programmes, if applicable.",CityU,general,offer_acceptance,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
"D02. If I have fulfilled both the General Entrance Requirement and Programme Entrance Requirement, does it mean that I am likely to be admitted?","The General Entrance Requirements and Programme Entrance Requirements of a programme stipulate the minimum requirements that applicants are expected to fulfil. Fulfilment of these requirements does not guarantee admission to the programme. The assessment for admission is based on a number of factors, including the applicant’s academic and professional qualifications, work experience, performance in the interview or test and other criteria as required by the respective programmes.",CityU,general,general,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
D03. Will I be invited to attend an admission interview / admission test?,"Not all programmes require an interview or test and the arrangements also vary from year to year. Please consult individual academic unit for details of the interview arrangement, if any.",CityU,general,general,low,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
D04. What is the English language requirement for admission to CityUHK programmes?,"For master's programmes, applicants whose entrance qualification is obtained from an institution where the medium of instruction is not English should also fulfil one of the following minimum English proficiency requirements^: a score of 79 (internet-based test) in the Test of English as a Foreign Language (TOEFL)@#; or an overall band score of 6.0 in International English Language Testing System (IELTS)@##; or band 6 in the Chinese Mainland’s College English Test (CET-6)*; or other equivalent qualifications. ^Individual Colleges and Schools may stipulate a higher English proficiency requirement, or equivalent acceptable qualifications, as deemed appropriate for their disciplines. @ TOEFL and IELTS scores are considered valid for two years. Applicants are required to provide their English test results obtained within the two years preceding the start of the University's application period. 'TOEFL iBT Home Edition', ‘TOEFL MyBest Score’, ‘IELTS Indicator’, ‘IELTS One Skill Retake’ and ‘IELTS Online’ are not acceptable. # Applicants are required to arrange with the Educational Testing Service (ETS) to send their TOEFL results directly to the University. The TOEFL institution code for CityUHK is 3401. ## Applicants are required to arrange for sending their IELTS result(s) via the IELTS Results Service e-delivery to the University. Please note that applicants with an overall band score of 6.0 will be required to pass an interview for English proficiency conducted by the concerned academic unit. Interviews for other applicants may not be required.",CityU,general,general,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
"D05. When should I arrange to send my IELTS/TOEFL score? If I have previously arranged to send my score to CityU, should I arrange to send it again?","You should arrange for your IELTS/TOEFL results to be sent to the University as soon as possible after you have submitted your application. If you have applied for more than one programme, the uploaded IELTS/TOEFL results will be shared among all your submitted applications.",CityU,general,general,low,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
D06. Do you consider TOEFL MyBest Scores (iBT) / IELTS One Skill Retake score for fulfilling the minimum English proficiency requirement for master's programmes?,"For master's programmes, 'TOEFL MyBest Scores' / IELTS One Skill Retake score is not accepted for fulfilling the minimum English proficiency requirement. The University only considers the TOEFL Scores (iBT) / IELTS result from an individual test on one single test date. Individual Colleges and Schools may stipulate a higher English proficiency requirement, or equivalent acceptable qualifications, as deemed appropriate for their disciplines. Please refer to our website for more information on the entrance requirements.",CityU,general,general,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
"D07. The TOEFL iBT has introduced a new 1-6 score scale, and my score report shows both scores [e.g. new score scale:4 & old score scale:79] under the total score. Is it acceptable?","Please note that starting from 21 January 2026, the TOEFL iBT introduces a new 1-6 score scale. During a two-year transition period, a comparable overall score (0-120) will be included on the TOEFL iBT score reports. The new score reports, issued after that date, are acceptable as they continue to display the overall score on the 0-120 scale. Applicants can refer to the information here on the new 1-6 score scale introduced by the TOEFL iBT or here on the English Proficiency Requirements of the University.",CityU,general,general,low,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
D08. I am a current CityUHK student on a master's programme. Can I apply to study for an additional programme or change my study programme at CityUHK?,"As concurrent enrolment in two CityUHK programmes is normally not allowed, you will need to withdraw from your current programme before enrolling in a new programme. Current CityUHK students who wish to change their study programme to another one of the same level should apply for programme transfer. E - Fees / Payment",CityU,general,payment,medium,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
E01. What are the tuition fees for the 2026/27 academic year?,"For details of the tuition fees for individual programmes, please refer here for information.",CityU,general,payment,medium,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
E02. How much is the online application fee? How can I pay the fee?,"The online application fee per programme choice is HK$600 except for EMBA programmes (P01A, P01B & P12) which is HK$1,000. Payment can be made by using VISA, MasterCard, UnionPay*, Alipay HK/ China, Apple Pay, WeChat Pay, Faster Payment System (FPS) or PayMe. If you wish to apply for more than one programme, you may submit an additional application. Please note that if you receive more than one admission offer from the University, you can choose to enrol in one programme only. The application fee is non-refundable and non-transferable. Your application will only be processed after the application fee is paid. *UnionPay service does not support Microsoft EDGE browser. Please use Microsoft IE or Google Chrome or Mozilla Firefox.",CityU,general,visa,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
E03. What can I do if I have problem in getting through the online payment gateway for settling the application/acceptance fee?,"If you encounter problems with the online payment gateway, please take the following actions: Make sure the web browser you are using is either Microsoft IE version 11, Google Chrome, or Mozilla Firefox with TLSv1.2 enabled (for IE: Internet Options > Advanced > use TLSv1.2). Ensure the web browser is configured to enable Javascript and turn on cookie especially for users using Apple iOS (e.g. MacBook / iPhone) where the system disables the cookie as default. If your browser is set to block pop-up windows, please set it to allow pop-ups temporarily. Make sure your firewall setting allows access to the CityUHK domain site. UnionPay service does not support Microsoft EDGE browser. Please use Microsoft IE or Google Chrome or Mozilla Firefox.",CityU,general,offer_acceptance,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
E04. I failed to pay the application fee online. Can I make the payment by other means?,"For online applications, you can pay the application fee by using VISA, MasterCard, UnionPay*, Alipay HK/ China, Apple Pay, WeChat Pay, Faster Payment System (FPS) or PayMe. Please note that sometimes payment may fail due to a system error. You are advised to save your data and make the payment again later. Your application will only be processed after the application fee is paid. *UnionPay service does not support Microsoft EDGE browser. Please use Microsoft IE or Google Chrome or Mozilla Firefox.",CityU,general,visa,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
E05. What should I do if I made a duplicate payment?,"If a duplicate payment is made, please notify the Chow Yei Ching School of Graduate Studies in writing to apply for a refund. We will look into your case and arrange for a refund within six to eight weeks if duplicate payment has been identified.",CityU,general,payment,medium,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
E06. Is the acceptance fee refundable or transferable?,"The acceptance fee for the programme, which is stated in the offer letter, is non-refundable or non-transferable except under the following circumstances:",CityU,general,offer_acceptance,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
F01. How should I submit my application?,"Please apply online through our website and read the 'Notes for Applicants' carefully before submitting your application. To create an application account by inputting your personal information and then note down your electronic ID, application number and password so that you can access your application account in future. When you have finished entering the data in various forms and have uploaded the supporting documents (e.g. transcripts, award certificates), click the 'Pay and Submit' button to proceed with online payment by using VISA, MasterCard, UnionPay*, Alipay HK/ China, Apple Pay, WeChat Pay, Faster Payment System (FPS) or PayMe. Your application will only be processed after the application fee has been paid. An acknowledgement of your application will be shown online immediately after successful payment of the application fee and you will also receive an email message to confirm the submission of your application. *UnionPay service does not support Microsoft EDGE browser. Please use Microsoft IE or Google Chrome or Mozilla Firefox.",CityU,general,visa,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
F02. How do I know that I have successfully paid the application fee and submitted my application for the programme?,"Once you have successfully paid your application fee, the programme name will appear under the 'Submitted Applications' section in the application system. In addition, an acknowledgement of your application will be shown online immediately after successful payment of the application fee and you will also receive an email message to confirm the submission of your application. Please ensure your email address is valid and will not filter out emails from the University.",CityU,general,payment,medium,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
F03. What is an application account? How can I access it?,"An application account is created once you have submitted your application online. Through your application account, you can check your application result, update your correspondence information and upload supporting documents. You can access your application account with the electronic ID and password created at the time of application. Only one application account should be created by each applicant (applicable for multiple programme applications).If more than one application account is created, your application will be disqualified.",CityU,general,general,low,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
F04. What should I do if I forget my electronic ID or password to log in to my application account?,"Please go to the account login page, click 'Forgot Electronic ID or Password' and provide the required information to retrieve your electronic ID or reset your password.",CityU,general,general,low,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
F05. Can I submit more than one programme application?,"You can submit more than one programme application under the same application account. The online application fee per programme choice is HK$600 except for EMBA programmes (P01A, P01B and P12) which is HK$1,000. Please do not create more than one application account. If you receive more than one admission offer from the University, you can choose to enrol in one programme only.",CityU,general,offer_acceptance,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
F06. Do I need to prioritise my programme choices? What should I do if I submit for more than one programme application?,"Applicants are not required to prioritise their programme choices. If you have applied for more than one programme, your programme choices will be given the same priority in our processing. Admission offers, if any, may be made at different times and applicants can indicate their acceptance of an alternative offer by completing the required procedures.",CityU,general,offer_acceptance,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
F07. I cannot log in to my application account. What should I do?,"To log in your application account: Go to the account login page, enter your application number / electronic ID and your password. If you have forgotten your password, select 'Forgot Electronic ID or Password' and provide the following information to retrieve your electronic ID or reset your password: HKID or ID / travel document number Email Date of birth Please note that your application account will be locked if you have not logged in to it for more than 6 months. If you are still unable to access your account, please write to us via tpadmit@cityu.edu.hk and provide us with your full name in English, application number, HKID / ID / passport number (if any) and email address. We will reset your password. For security reasons, you are advised to change your password once you have logged in to your account successfully.",CityU,general,general,low,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
F08. Can I submit a late application?,"Late applications may be accepted if places are still available and it is subject to the discretion of relevant academic unit. You are advised to submit your application as early as possible. For some programmes, applications are considered on a rolling basis. Review of applications will start before the deadline and continue until all places are filled. You are advised to check whether the respective academic units accept late applications before submitting your application.",CityU,general,general,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
F09. What documents do I need to submit besides the application form?,"A complete set of application submitted online should include*: an application form; an applicant statement, if applicable; a supplementary form for some programmes, if applicable; the required supporting documents of academic / professional qualifications, English proficiency test result; any other supporting documents required by individual programmes; and successful payment of application fee Submitted documents will not be returned. Original documents (including CityUHK qualifications and public examination results) will need to be submitted/ presented for verification at a later time, upon request by the University. Provision of any false or misleading information as identified by the University before or after the admission offer, or failure to provide the full documentation for verification, will lead to disqualification of the admission application, and any offer or enrolment made will be rescinded. All fees paid will not be refunded. *Except for Postgraduate Certificate in Laws (P45), please do not submit your supporting documents by post until applicants are offered an admission place (if any). Except for the official transcript / English test report (e.g. TOEFL) sent directly from the institution/exam organising unit in a sealed envelope, hard copies of any supporting documents received by the University from applicants will not be opened and will be destroyed upon receipt. Applicants with an admission offer, however, will be required to arrange submission of the required documents by the stipulated deadline for qualification checking. Please read the details.",CityU,general,offer_acceptance,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
F10. When should I submit the supporting documents? Can I provide additional information after I have submitted my application?,Document files should be uploaded via your application account before submitting your programme application. Please note that selection decisions will be based on the qualifications set out in your application. Additional information and documents provided to the University after the commencement of the selection process may not be considered as it is subject to the discretion of the relevant academic unit.,CityU,general,general,low,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
F11. I will complete my current study by September 2026 but I do not have a transcript / certificate at the time of application. Can I submit an application without the transcript / certificate?,"You may submit your application stating your expected graduation date, along with any previous academic results and the latest transcript of your final year of study. Conditional offers may be made to applicants, stipulating successful completion of their current study as a requirement for admission. Applicants are required to arrange submission of the required documents by the stipulated deadline for qualification checking. Please read the details. F12. How can I cancel or remove my online application? I have not paid the application fee. No cancellation of un-submitted applications is required. Your application will not be processed if you have not paid the application fee.",CityU,general,offer_acceptance,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
"F13. After I have submitted my application online, can I correct / update the information entered in the system?","Once you have submitted your application, the system will disable the data entry function. For changes of your postal / email address and telephone number, however, you may update your record online at any time via the 'Personal Information' section of your application account. For other amendments, please notify the Chow Yei Ching School of Graduate Studies in writing and provide us with your full name, application number and programme choice(s) for identification. You may be asked to provide documentary proof for making these changes. Please note that the selection results will be based on the information provided at the time of your application. Additional, updated or amended information provided to the University after the commencement of the selection process may or may not be considered and it is subject to the discretion of the relevant academic unit.",CityU,general,general,low,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
F14. Will the academic unit know that I have applied for admission to more than one programme?,"Particulars (e.g. personal information and qualifications) relating to your application are shared among the programmes which you have applied for, except for information specific to individual programmes.",CityU,general,general,low,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
F15. How will the information I provide in the application be used?,"The information you provided in your application, including your HKID card / passport / travel document number, examination results and qualifications, will be used for the following purposes: as a basis for various types of processing in relation to your application; as a basis for the selection of applicants for admission to the programmes offered by the University and/or in collaboration with other institutions; for other opportunities relating to funding schemes / awards by the University or other parties; and for other relevant or related purposes; to obtain, from the relevant examination authority, assessment body or academic institution in Hong Kong and elsewhere, information about your examination results, records of studies and/or professional qualifications if deemed appropriate; to carry out checks on your applications, and any records of studies at the University and other institutions in Hong Kong and elsewhere if deemed appropriate; to carry out checks on other information mentioned in your application (e.g. employment records, professional qualifications, etc.) with the relevant party / parties if deemed appropriate; to transfer relevant data to i) the student record system of the University, ii) partner institutions under collaboration arrangements and/or other parties supporting financial schemes / awards, if applicable upon your successful enrolment at the University;",CityU,general,offer_acceptance,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
"F16. If I do not have VISA, MasterCard or UnionPay, how can I pay for the application fee?","The application fee for online application can be paid by using VISA, MasterCard, UnionPay*, Alipay HK/ China, Apple Pay, WeChat Pay, Faster Payment System (FPS) or PayMe. You may ask a holder of the said payment means (e.g. a friend or relative) to make the payment for you. *UnionPay service does not support Microsoft EDGE browser. Please use Microsoft IE or Google Chrome or Mozilla Firefox.",CityU,general,visa,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
F17. I am interested in CityUHK master's programmes. Do I need to submit an application through an educational agency?,"There is NO need to submit an application through any agency or company. Applications can be submitted directly by applicants via our online application system.Please refer to the programme information and application procedures for details about individual programmes and how to submit your application. CityUHK does not entrust any agencies or companies in Chinese Mainland, for recruitment of postgraduate students or conducting any information / consultation sessions of postgraduate studies. G - Application Result",CityU,general,general,low,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
G01. When will the application result be announced?,"Depending on the programme you have applied for, applications may be reviewed by the academic units as soon as they are received. Admission offers are mostly made next year between January and June. The selection process is normally completed by the end of June for non-local applicants, or by the end of July for local applicants. Late announcement of application results may be due to the following reasons: the application was submitted after the application deadline; or examination results relevant to the evaluation are still pending; or a marginal case for which the selection decision depends on the enrolment situation. Please contact the programme offering academic unit for any further enquiries.",CityU,general,offer_acceptance,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
G02. How will I know my application result?,"You should check your application result online via your application account from time to time by accessing the account with the electronic ID and password created at the time of your application. If you are successful in your application, you will receive an email notification reminding you to check the application account to view and download the offer letter and to complete the required procedures for accepting the offer. No hard copy will be issued. Please ensure that your email address is valid and will not filter out any emails from the University.",CityU,general,offer_acceptance,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
G03. Can I apply for credit transfer if I am offered admission?,"Applications for credit transfer for coursework completed prior to entry to the University must be made in the first semester following the student’s admission, before the deadline set by the University. Transferred credits will not be counted in the calculation of the Grade Point Average (GPA) and classification of the award. Credit transfer should be limited to a maximum of 30% of the total credit units for the award being pursued.",CityU,general,offer_acceptance,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
G04. I received a conditional offer letter from the University. Will I receive a further letter confirming the admission offer after I have fulfilled the conditions?,"Applicants with a conditional offer are required to provide the official documentation certifying fulfilment of condition(s) before the deadline indicated in the offer letter. If you have submitted the required documents and are considered as having fulfilled ALL the conditions set out in the offer letter, your online application status will be marked as 'Condition Met' under 'Meeting Offer Condition(s)', but your application result will NOT be changed from 'Conditional Offer' to 'Firm Offer'. No separate notification or firm offer letter will be issued to you. If you fail to provide the required documents, your admission offer will be withdrawn and any enrolment made in the programme will also be rescinded.",CityU,general,offer_acceptance,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
"G05. If I am offered a place at your University this year, can I defer admission to a year later?",The admission offer is valid for the semester indicated in the offer letter and it will lapse if you fail to enrol in the indicated semester for admission.,CityU,general,offer_acceptance,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
"G06. I have accepted an offer of admission. When will I receive information on enrolment, class schedules and course registration?",Applicants will be notified of enrolment arrangements by email normally in mid-July after they have accepted the admission offer and settled the acceptance fee. Applicants given a conditional offer will normally be notified of enrolment after condition(s) of offer is / are met. Students will be notified of the arrangements for the class schedule and course registration near the start of the semester.,CityU,general,offer_acceptance,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
"G07. If I decline the admission offer this year, will it affect my application next year?","Applications are reviewed based on the information submitted in the year of admission, without reference to any previous unsuccessful applications.",CityU,general,offer_acceptance,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
G08. Can I appeal if I am denied admission?,We strongly discourage appeals unless you can provide significant new information in writing for our consideration. Our admission decisions are based on a careful and thorough review of each application. It would be highly unusual for the University to reverse such decisions.,CityU,general,general,low,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
G09. What do I need to do if I am offered admission?,Successful applicants can view their offer letters via their application account online with the 'Notes for Applicants on Acceptance of Offer' (the 'Notes') and other information about admission to the University. Please follow the instructions on the 'Notes' to confirm your acceptance of offer by the specified deadline.,CityU,general,offer_acceptance,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
"G10. I logged in to the application account and noted that Firm Offer' is stated in the 'Application Result'. Does it mean that I was accepted for the programme? And, if so, what are the next steps for enrolment in the programme?",'Firm Offer' means you have been offered admission to the specified programme and an official offer letter has been uploaded to your application account. Please read the offer letter and 'Notes for Applicants on Acceptance of Offer' carefully and follow the instructions given to confirm your acceptance of the offer by the specified deadline. No hardcopy of the offer letter will be issued.,CityU,general,offer_acceptance,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
G11.I received an offer letter and have accepted the offer and paid online. Could you please acknowledge receipt of my payment of the acceptance fee?,"Please note that upon your indication of your acceptance of offer and pay the acceptance fee online, your application account will be updated accordingly. You may check the updated information under 'Applicant Reply' through your application account.",CityU,general,offer_acceptance,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
G12. Should attachment of a Cover Sheet for Transcript Submission to the transcript be required after acceptance of offer?,"Please note that the Cover Sheet for Transcript Submission is not required. For details, please read the Information on Supporting Documents - After Offer Acceptance. G13. I received an offer of admission from the University and started to submit my application for a student visa. I want to know if the University will act as the sponsor for my visa application and who should I contact? (applicable to non-local applicants) Our student visa team of the Admissions Office (ADMO) coordinates matters relating to student visa / entry permit applications. Please contact them for assistance. Phone (852) 3442 5652 Email admovisa@cityu.edu.hk Website http://www.cityu.edu.hk/admo/non-local-students/visa/student-visa For information about student visa/entry permit, please visit the official website of the Immigration Department of the Hong Kong Special Administrative Region (HKSAR). H - Living Costs and Accommodation (applicable to non-local applicants)",CityU,general,visa,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
