evidence_id,task_code,school,stage,evidence_type,evidence_text,normalized_value,source_question,source_url,confidence,updated_at
cityu__pay_tuition__source_context__0023_00,pay_tuition,CityU,payment,source_context,"Q: What are the tuition fees for the 2026/27 academic year? A: For details of the tuition fees for individual programmes, please refer here for information.",,What are the tuition fees for the 2026/27 academic year?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,low,2026-06-30
cityu__submit_conditions__action_instruction__0025_00,submit_conditions,CityU,offer_acceptance,action_instruction,"If you encounter problems with the online payment gateway, please take the following actions: Make sure the web browser you are using is either Microsoft IE version 11, Google Chrome, or Mozilla Firefox with TLSv1.2 enabled (for IE: Internet Options > Advanced > use TLSv1.2).","If you encounter problems with the online payment gateway, please take the following actions: Make sure the web browser you are using is either Microsoft IE version 11, Google Chrome, or Mozilla Firefox with TLSv1.2 enabled (for IE: Internet Options > Advanced > use TLSv1.2).",What can I do if I have problem in getting through the online payment gateway for settling the application/acceptance fee?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__submit_conditions__action_instruction__0025_01,submit_conditions,CityU,offer_acceptance,action_instruction,UnionPay service does not support Microsoft EDGE browser.,UnionPay service does not support Microsoft EDGE browser.,What can I do if I have problem in getting through the online payment gateway for settling the application/acceptance fee?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__pay_tuition__action_instruction__0027_00,pay_tuition,CityU,payment,action_instruction,"If a duplicate payment is made, please notify the Chow Yei Ching School of Graduate Studies in writing to apply for a refund.","If a duplicate payment is made, please notify the Chow Yei Ching School of Graduate Studies in writing to apply for a refund.",What should I do if I made a duplicate payment?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__pay_tuition__deadline__0027_01,pay_tuition,CityU,payment,deadline,We will look into your case and arrange for a refund within six to eight weeks if duplicate payment has been identified.,We will look into your case and arrange for a refund within six to eight weeks if duplicate payment has been identified.,What should I do if I made a duplicate payment?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__pay_tuition__action_instruction__0027_02,pay_tuition,CityU,payment,action_instruction,We will look into your case and arrange for a refund within six to eight weeks if duplicate payment has been identified.,We will look into your case and arrange for a refund within six to eight weeks if duplicate payment has been identified.,What should I do if I made a duplicate payment?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__submit_conditions__action_instruction__0028_00,submit_conditions,CityU,offer_acceptance,action_instruction,"The acceptance fee for the programme, which is stated in the offer letter, is non-refundable or non-transferable except under the following circumstances:","The acceptance fee for the programme, which is stated in the offer letter, is non-refundable or non-transferable except under the following circumstances:",Is the acceptance fee refundable or transferable?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__submit_conditions__action_instruction__0031_00,submit_conditions,CityU,offer_acceptance,action_instruction,An application account is created once you have submitted your application online.,An application account is created once you have submitted your application online.,What is an application account? How can I access it?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,low,2026-06-30
cityu__submit_conditions__required_document__0031_01,submit_conditions,CityU,offer_acceptance,required_document,"Through your application account, you can check your application result, update your correspondence information and upload supporting documents.",document; documents,What is an application account? How can I access it?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,low,2026-06-30
cityu__submit_conditions__action_instruction__0031_02,submit_conditions,CityU,offer_acceptance,action_instruction,"Through your application account, you can check your application result, update your correspondence information and upload supporting documents.","Through your application account, you can check your application result, update your correspondence information and upload supporting documents.",What is an application account? How can I access it?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,low,2026-06-30
cityu__submit_conditions__deadline__0031_03,submit_conditions,CityU,offer_acceptance,deadline,"Only one application account should be created by each applicant (applicable for multiple programme applications).If more than one application account is created, your application will be disqualified.","Only one application account should be created by each applicant (applicable for multiple programme applications).If more than one application account is created, your application will be disqualified.",What is an application account? How can I access it?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,low,2026-06-30
cityu__accept_offer__deadline__0034_00,accept_offer,CityU,offer_acceptance,deadline,"Admission offers, if any, may be made at different times and applicants can indicate their acceptance of an alternative offer by completing the required procedures.","Admission offers, if any, may be made at different times and applicants can indicate their acceptance of an alternative offer by completing the required procedures.",Do I need to prioritise my programme choices? What should I do if I submit for more than one programme application?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__accept_offer__action_instruction__0034_01,accept_offer,CityU,offer_acceptance,action_instruction,"Admission offers, if any, may be made at different times and applicants can indicate their acceptance of an alternative offer by completing the required procedures.","Admission offers, if any, may be made at different times and applicants can indicate their acceptance of an alternative offer by completing the required procedures.",Do I need to prioritise my programme choices? What should I do if I submit for more than one programme application?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__submit_conditions__deadline__0038_00,submit_conditions,CityU,offer_acceptance,deadline,Document files should be uploaded via your application account before submitting your programme application.,Document files should be uploaded via your application account before submitting your programme application.,When should I submit the supporting documents? Can I provide additional information after I have submitted my application?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,low,2026-06-30
cityu__submit_conditions__required_document__0038_01,submit_conditions,CityU,offer_acceptance,required_document,Document files should be uploaded via your application account before submitting your programme application.,document,When should I submit the supporting documents? Can I provide additional information after I have submitted my application?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,low,2026-06-30
cityu__submit_conditions__action_instruction__0038_02,submit_conditions,CityU,offer_acceptance,action_instruction,Document files should be uploaded via your application account before submitting your programme application.,Document files should be uploaded via your application account before submitting your programme application.,When should I submit the supporting documents? Can I provide additional information after I have submitted my application?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,low,2026-06-30
cityu__submit_conditions__required_document__0038_03,submit_conditions,CityU,offer_acceptance,required_document,Additional information and documents provided to the University after the commencement of the selection process may not be considered as it is subject to the discretion of the relevant academic unit.,document; documents,When should I submit the supporting documents? Can I provide additional information after I have submitted my application?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,low,2026-06-30
cityu__submit_conditions__deadline__0042_00,submit_conditions,CityU,offer_acceptance,deadline,"The information you provided in your application, including your HKID card / passport / travel document number, examination results and qualifications, will be used for the following purposes: as a basis for various types of processing in relation to your application; as a basis for the selection of applicants for admission to the programmes offered by the University and/or in collaboration with other institutions; for other opportunities relating to funding schemes / awards by the University or other parties; and for other relevant or related purposes; to obtain, from the relevant examination authority, assessment body or academic institution in Hong Kong and elsewhere, information about your examination results, records of studies and/or professional qualifications if deemed appropriate; to carry out checks on your applications, and any records of studies at the University and other institutions in Hong Kong and elsewhere if deemed appropriate; to carry out checks on other information mentioned in your application (e.g. employment records, professional qualifications, etc.) with the relevant party / parties if deemed appropriate; to transfer relevant data to i) the student record system of the University, ii) partner institutions under collaboration arrangements and/or other parties supporting financial schemes / awards, if applicable upon your successful enrolment at the University","The information you provided in your application, including your HKID card / passport / travel document number, examination results and qualifications, will be used for the following purposes: as a basis for various types of processing in relation to your application; as a basis for the selection of applicants for admission to the programmes offered by the University and/or in collaboration with other institutions; for other opportunities relating to funding schemes / awards by the University or other parties; and for other relevant or related purposes; to obtain, from the relevant examination authority, assessment body or academic institution in Hong Kong and elsewhere, information about your examination results, records of studies and/or professional qualifications if deemed appropriate; to carry out checks on your applications, and any records of studies at the University and other institutions in Hong Kong and elsewhere if deemed appropriate; to carry out checks on other information mentioned in your application (e.g. employment records, professional qualifications, etc.) with the relevant party / parties if deemed appropriate; to transfer relevant data to i) the student record system of the University, ii) partner institutions under collaboration arrangements and/or other parties supporting financial schemes / awards, if applicable upon your successful enrolment at the University",How will the information I provide in the application be used?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__submit_conditions__required_document__0042_01,submit_conditions,CityU,offer_acceptance,required_document,"The information you provided in your application, including your HKID card / passport / travel document number, examination results and qualifications, will be used for the following purposes: as a basis for various types of processing in relation to your application; as a basis for the selection of applicants for admission to the programmes offered by the University and/or in collaboration with other institutions; for other opportunities relating to funding schemes / awards by the University or other parties; and for other relevant or related purposes; to obtain, from the relevant examination authority, assessment body or academic institution in Hong Kong and elsewhere, information about your examination results, records of studies and/or professional qualifications if deemed appropriate; to carry out checks on your applications, and any records of studies at the University and other institutions in Hong Kong and elsewhere if deemed appropriate; to carry out checks on other information mentioned in your application (e.g. employment records, professional qualifications, etc.) with the relevant party / parties if deemed appropriate; to transfer relevant data to i) the student record system of the University, ii) partner institutions under collaboration arrangements and/or other parties supporting financial schemes / awards, if applicable upon your successful enrolment at the University",document; passport; travel document,How will the information I provide in the application be used?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__submit_conditions__action_instruction__0042_02,submit_conditions,CityU,offer_acceptance,action_instruction,"The information you provided in your application, including your HKID card / passport / travel document number, examination results and qualifications, will be used for the following purposes: as a basis for various types of processing in relation to your application; as a basis for the selection of applicants for admission to the programmes offered by the University and/or in collaboration with other institutions; for other opportunities relating to funding schemes / awards by the University or other parties; and for other relevant or related purposes; to obtain, from the relevant examination authority, assessment body or academic institution in Hong Kong and elsewhere, information about your examination results, records of studies and/or professional qualifications if deemed appropriate; to carry out checks on your applications, and any records of studies at the University and other institutions in Hong Kong and elsewhere if deemed appropriate; to carry out checks on other information mentioned in your application (e.g. employment records, professional qualifications, etc.) with the relevant party / parties if deemed appropriate; to transfer relevant data to i) the student record system of the University, ii) partner institutions under collaboration arrangements and/or other parties supporting financial schemes / awards, if applicable upon your successful enrolment at the University","The information you provided in your application, including your HKID card / passport / travel document number, examination results and qualifications, will be used for the following purposes: as a basis for various types of processing in relation to your application; as a basis for the selection of applicants for admission to the programmes offered by the University and/or in collaboration with other institutions; for other opportunities relating to funding schemes / awards by the University or other parties; and for other relevant or related purposes; to obtain, from the relevant examination authority, assessment body or academic institution in Hong Kong and elsewhere, information about your examination results, records of studies and/or professional qualifications if deemed appropriate; to carry out checks on your applications, and any records of studies at the University and other institutions in Hong Kong and elsewhere if deemed appropriate; to carry out checks on other information mentioned in your application (e.g. employment records, professional qualifications, etc.) with the relevant party / parties if deemed appropriate; to transfer relevant data to i) the student record system of the University, ii) partner institutions under collaboration arrangements and/or other parties supporting financial schemes / awards, if applicable upon your successful enrolment at the University",How will the information I provide in the application be used?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__accept_offer__deadline__0045_00,accept_offer,CityU,offer_acceptance,deadline,"Depending on the programme you have applied for, applications may be reviewed by the academic units as soon as they are received.","Depending on the programme you have applied for, applications may be reviewed by the academic units as soon as they are received.",When will the application result be announced?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__accept_offer__deadline__0045_01,accept_offer,CityU,offer_acceptance,deadline,"The selection process is normally completed by the end of June for non-local applicants, or by the end of July for local applicants.","The selection process is normally completed by the end of June for non-local applicants, or by the end of July for local applicants.",When will the application result be announced?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__accept_offer__deadline__0045_02,accept_offer,CityU,offer_acceptance,deadline,Late announcement of application results may be due to the following reasons: the application was submitted after the application deadline; or examination results relevant to the evaluation are still pending; or a marginal case for which the selection decision depends on the enrolment situation.,Late announcement of application results may be due to the following reasons: the application was submitted after the application deadline; or examination results relevant to the evaluation are still pending; or a marginal case for which the selection decision depends on the enrolment situation.,When will the application result be announced?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__accept_offer__action_instruction__0045_03,accept_offer,CityU,offer_acceptance,action_instruction,Late announcement of application results may be due to the following reasons: the application was submitted after the application deadline; or examination results relevant to the evaluation are still pending; or a marginal case for which the selection decision depends on the enrolment situation.,Late announcement of application results may be due to the following reasons: the application was submitted after the application deadline; or examination results relevant to the evaluation are still pending; or a marginal case for which the selection decision depends on the enrolment situation.,When will the application result be announced?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__submit_conditions__deadline__0046_00,submit_conditions,CityU,offer_acceptance,deadline,You should check your application result online via your application account from time to time by accessing the account with the electronic ID and password created at the time of your application.,You should check your application result online via your application account from time to time by accessing the account with the electronic ID and password created at the time of your application.,How will I know my application result?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__submit_conditions__action_instruction__0046_01,submit_conditions,CityU,offer_acceptance,action_instruction,You should check your application result online via your application account from time to time by accessing the account with the electronic ID and password created at the time of your application.,You should check your application result online via your application account from time to time by accessing the account with the electronic ID and password created at the time of your application.,How will I know my application result?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__submit_conditions__action_instruction__0046_02,submit_conditions,CityU,offer_acceptance,action_instruction,"If you are successful in your application, you will receive an email notification reminding you to check the application account to view and download the offer letter and to complete the required procedures for accepting the offer.","If you are successful in your application, you will receive an email notification reminding you to check the application account to view and download the offer letter and to complete the required procedures for accepting the offer.",How will I know my application result?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__submit_conditions__deadline__0047_00,submit_conditions,CityU,offer_acceptance,deadline,"Applications for credit transfer for coursework completed prior to entry to the University must be made in the first semester following the student’s admission, before the deadline set by the University.","Applications for credit transfer for coursework completed prior to entry to the University must be made in the first semester following the student’s admission, before the deadline set by the University.",Can I apply for credit transfer if I am offered admission?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__submit_conditions__deadline__0048_00,submit_conditions,CityU,offer_acceptance,deadline,Applicants with a conditional offer are required to provide the official documentation certifying fulfilment of condition(s) before the deadline indicated in the offer letter.,Applicants with a conditional offer are required to provide the official documentation certifying fulfilment of condition(s) before the deadline indicated in the offer letter.,I received a conditional offer letter from the University. Will I receive a further letter confirming the admission offer after I have fulfilled the conditions?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__submit_conditions__required_document__0048_01,submit_conditions,CityU,offer_acceptance,required_document,Applicants with a conditional offer are required to provide the official documentation certifying fulfilment of condition(s) before the deadline indicated in the offer letter.,document,I received a conditional offer letter from the University. Will I receive a further letter confirming the admission offer after I have fulfilled the conditions?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__submit_conditions__required_document__0048_02,submit_conditions,CityU,offer_acceptance,required_document,"If you have submitted the required documents and are considered as having fulfilled ALL the conditions set out in the offer letter, your online application status will be marked as 'Condition Met' under 'Meeting Offer Condition(s)', but your application result will NOT be changed from 'Conditional Offer' to 'Firm Offer'.",document; documents,I received a conditional offer letter from the University. Will I receive a further letter confirming the admission offer after I have fulfilled the conditions?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__submit_conditions__action_instruction__0048_03,submit_conditions,CityU,offer_acceptance,action_instruction,"If you have submitted the required documents and are considered as having fulfilled ALL the conditions set out in the offer letter, your online application status will be marked as 'Condition Met' under 'Meeting Offer Condition(s)', but your application result will NOT be changed from 'Conditional Offer' to 'Firm Offer'.","If you have submitted the required documents and are considered as having fulfilled ALL the conditions set out in the offer letter, your online application status will be marked as 'Condition Met' under 'Meeting Offer Condition(s)', but your application result will NOT be changed from 'Conditional Offer' to 'Firm Offer'.",I received a conditional offer letter from the University. Will I receive a further letter confirming the admission offer after I have fulfilled the conditions?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__submit_conditions__required_document__0048_04,submit_conditions,CityU,offer_acceptance,required_document,"If you fail to provide the required documents, your admission offer will be withdrawn and any enrolment made in the programme will also be rescinded.",document; documents,I received a conditional offer letter from the University. Will I receive a further letter confirming the admission offer after I have fulfilled the conditions?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__accept_offer__source_context__0049_00,accept_offer,CityU,offer_acceptance,source_context,"Q: If I am offered a place at your University this year, can I defer admission to a year later? A: The admission offer is valid for the semester indicated in the offer letter and it will lapse if you fail to enrol in the indicated semester for admission.",,"If I am offered a place at your University this year, can I defer admission to a year later?",https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,low,2026-06-30
cityu__submit_conditions__deadline__0050_00,submit_conditions,CityU,offer_acceptance,deadline,Applicants will be notified of enrolment arrangements by email normally in mid-July after they have accepted the admission offer and settled the acceptance fee.,Applicants will be notified of enrolment arrangements by email normally in mid-July after they have accepted the admission offer and settled the acceptance fee.,"I have accepted an offer of admission. When will I receive information on enrolment, class schedules and course registration?",https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__submit_conditions__action_instruction__0050_01,submit_conditions,CityU,offer_acceptance,action_instruction,Applicants will be notified of enrolment arrangements by email normally in mid-July after they have accepted the admission offer and settled the acceptance fee.,Applicants will be notified of enrolment arrangements by email normally in mid-July after they have accepted the admission offer and settled the acceptance fee.,"I have accepted an offer of admission. When will I receive information on enrolment, class schedules and course registration?",https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__submit_conditions__action_instruction__0050_02,submit_conditions,CityU,offer_acceptance,action_instruction,Students will be notified of the arrangements for the class schedule and course registration near the start of the semester.,Students will be notified of the arrangements for the class schedule and course registration near the start of the semester.,"I have accepted an offer of admission. When will I receive information on enrolment, class schedules and course registration?",https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
