task_id,school,stage,task_name,description,trigger_condition,deadline,required_documents,action_url,risk_level,source_url,updated_at
cityu-submit_conditions,CityU,offer_acceptance,补交 conditional offer 材料,核对 conditional offer 中尚未满足的条件，提交最终成绩单、毕业证、学位证、语言成绩或官方认证文件。,offer 为 conditional，且仍有 pending condition。,以 conditional offer、学院邮件或学校系统内的 document deadline 为准。,最终成绩单；毕业证 / 学位证；语言成绩；官方认证件；学校额外要求文件。,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes,2026-06-29
cityu-apply_student_visa,CityU,visa,申请学生签证 / 进入许可,内地学生通常需要通过学校申请 entry permit / student visa。尽早准备表格、身份证明、录取证明和资金材料，等待学校或入境处处理。,决定入读且尚未递交学生签证 / 进入许可申请。,以学校签证页面、邮件及香港入境事务处处理周期为准；不要等到临近开学才递交。,签证 / 进入许可申请表；旅行证件；录取证明；财力证明；照片；学校要求的其他文件。,https://www.cityu.edu.hk/geo/non-local-students/visa,high,https://www.cityu.edu.hk/geo/non-local-students/visa,2026-06-29
cityu-apply_accommodation,CityU,housing,申请宿舍或安排校外住宿,查询学校住宿申请窗口、资格和优先级；如校内宿舍名额有限，同时准备校外租房备选方案。,计划到港就读，且尚未提交住宿申请或确定住所。,以学校住宿页面公布的 application period / hall application deadline 为准。,student ID / application number；入学证明；住宿申请表；可能需要的紧急联系人信息。,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,medium,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,2026-06-29
cityu-pay_tuition,CityU,payment,核对并缴纳学费 / 其他费用,核对 programme tuition、缴费方式、分期安排和账单生成时间，按学校财务或学生系统要求付款。,学费账单或缴费通知已发布，且尚未完成付款。,以学校缴费页面、学生系统账单或学院邮件为准。,student ID；缴费通知；付款工具；付款凭证。,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes,medium,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes,2026-06-29
cityu-complete_registration,CityU,registration,完成线上注册 / 学籍激活,按学校注册指引激活学生账号、完成个人资料、上传证件或注册确认，并检查是否需要线下核验。,学校开放 registration / enrolment，且尚未完成。,以学校 registration guide、学生系统和邮件通知为准。,身份证明；旅行证件；证件照片；录取信息；学校要求上传的声明或表格。,https://www.cityu.edu.hk/arro/,high,https://www.cityu.edu.hk/arro/,2026-06-29
cityu-prepare_arrival_orientation,CityU,orientation,准备入境与参加 orientation,整理入境文件、住宿安排、交通和报到材料，关注 orientation / induction 活动报名与时间表。,签证 / 进入许可获批后，或开学前学校发布 orientation 安排。,以学校 orientation 页面、学院邮件和入境日期安排为准。,旅行证件；签证 / 进入许可；录取证明；住宿地址；保险 / 现金 / 电话卡等到港准备材料。,https://www.cityu.edu.hk/geo/non-local-students,medium,https://www.cityu.edu.hk/geo/non-local-students,2026-06-29
eduhk-accept_offer,EdUHK,offer_acceptance,接受 offer 并确认入读意向,登录学校申请系统或 offer letter 指定入口，按要求接受录取。若页面要求同时确认条款、上传回执或选择入学批次，需要一并完成。,收到 offer 后，且尚未完成 official acceptance。,以 offer letter、申请系统或学院邮件显示的 acceptance deadline 为准。,offer letter；申请系统账号；学校要求的接受录取确认信息。,https://gs.eduhk.hk/prospective/after-getting-an-offer/,high,https://gs.eduhk.hk/prospective/after-getting-an-offer/,2026-06-29
eduhk-pay_deposit,EdUHK,offer_acceptance,缴纳留位费 / admission deposit,按学校指定付款方式缴纳留位费，并保存付款成功页面、交易编号或银行凭证。,offer 条款或申请系统要求缴纳 deposit，且尚未完成付款。,通常与接受 offer 的截止日绑定；以 offer letter / portal 的金额与截止时间为准。,银行卡或汇款信息；付款凭证；application number / student ID。,https://gs.eduhk.hk/prospective/after-getting-an-offer/,high,https://gs.eduhk.hk/prospective/after-getting-an-offer/,2026-06-29
eduhk-submit_conditions,EdUHK,offer_acceptance,补交 conditional offer 材料,核对 conditional offer 中尚未满足的条件，提交最终成绩单、毕业证、学位证、语言成绩或官方认证文件。,offer 为 conditional，且仍有 pending condition。,以 conditional offer、学院邮件或学校系统内的 document deadline 为准。,最终成绩单；毕业证 / 学位证；语言成绩；官方认证件；学校额外要求文件。,https://gs.eduhk.hk/prospective/after-getting-an-offer/,high,https://gs.eduhk.hk/prospective/after-getting-an-offer/,2026-06-29
eduhk-apply_student_visa,EdUHK,visa,申请学生签证 / 进入许可,内地学生通常需要通过学校申请 entry permit / student visa。尽早准备表格、身份证明、录取证明和资金材料，等待学校或入境处处理。,决定入读且尚未递交学生签证 / 进入许可申请。,以学校签证页面、邮件及香港入境事务处处理周期为准；不要等到临近开学才递交。,签证 / 进入许可申请表；旅行证件；录取证明；财力证明；照片；学校要求的其他文件。,https://gs.eduhk.hk/prospective/information-for-non-local-student/,high,https://gs.eduhk.hk/prospective/information-for-non-local-student/,2026-06-29
eduhk-apply_accommodation,EdUHK,housing,申请宿舍或安排校外住宿,查询学校住宿申请窗口、资格和优先级；如校内宿舍名额有限，同时准备校外租房备选方案。,计划到港就读，且尚未提交住宿申请或确定住所。,以学校住宿页面公布的 application period / hall application deadline 为准。,student ID / application number；入学证明；住宿申请表；可能需要的紧急联系人信息。,https://gs.eduhk.hk/prospective/information-for-non-local-student/,medium,https://gs.eduhk.hk/prospective/information-for-non-local-student/,2026-06-29
eduhk-pay_tuition,EdUHK,payment,核对并缴纳学费 / 其他费用,核对 programme tuition、缴费方式、分期安排和账单生成时间，按学校财务或学生系统要求付款。,学费账单或缴费通知已发布，且尚未完成付款。,以学校缴费页面、学生系统账单或学院邮件为准。,student ID；缴费通知；付款工具；付款凭证。,https://gs.eduhk.hk/pg-programmes-2026/application-admission.html,medium,https://gs.eduhk.hk/pg-programmes-2026/application-admission.html,2026-06-29
eduhk-complete_registration,EdUHK,registration,完成线上注册 / 学籍激活,按学校注册指引激活学生账号、完成个人资料、上传证件或注册确认，并检查是否需要线下核验。,学校开放 registration / enrolment，且尚未完成。,以学校 registration guide、学生系统和邮件通知为准。,身份证明；旅行证件；证件照片；录取信息；学校要求上传的声明或表格。,https://gs.eduhk.hk/prospective/after-getting-an-offer/,high,https://gs.eduhk.hk/prospective/after-getting-an-offer/,2026-06-29
eduhk-prepare_arrival_orientation,EdUHK,orientation,准备入境与参加 orientation,整理入境文件、住宿安排、交通和报到材料，关注 orientation / induction 活动报名与时间表。,签证 / 进入许可获批后，或开学前学校发布 orientation 安排。,以学校 orientation 页面、学院邮件和入境日期安排为准。,旅行证件；签证 / 进入许可；录取证明；住宿地址；保险 / 现金 / 电话卡等到港准备材料。,https://gs.eduhk.hk/current/student-support/,medium,https://gs.eduhk.hk/current/student-support/,2026-06-29
hkbu-accept_offer,HKBU,offer_acceptance,接受 offer 并确认入读意向,登录学校申请系统或 offer letter 指定入口，按要求接受录取。若页面要求同时确认条款、上传回执或选择入学批次，需要一并完成。,收到 offer 后，且尚未完成 official acceptance。,以 offer letter、申请系统或学院邮件显示的 acceptance deadline 为准。,offer letter；申请系统账号；学校要求的接受录取确认信息。,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-important-information,high,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-important-information,2026-06-29
hkbu-pay_deposit,HKBU,offer_acceptance,缴纳留位费 / admission deposit,按学校指定付款方式缴纳留位费，并保存付款成功页面、交易编号或银行凭证。,offer 条款或申请系统要求缴纳 deposit，且尚未完成付款。,通常与接受 offer 的截止日绑定；以 offer letter / portal 的金额与截止时间为准。,银行卡或汇款信息；付款凭证；application number / student ID。,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-important-information,high,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-important-information,2026-06-29
hkbu-submit_conditions,HKBU,offer_acceptance,补交 conditional offer 材料,核对 conditional offer 中尚未满足的条件，提交最终成绩单、毕业证、学位证、语言成绩或官方认证文件。,offer 为 conditional，且仍有 pending condition。,以 conditional offer、学院邮件或学校系统内的 document deadline 为准。,最终成绩单；毕业证 / 学位证；语言成绩；官方认证件；学校额外要求文件。,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-important-information,high,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-important-information,2026-06-29
hkbu-apply_student_visa,HKBU,visa,申请学生签证 / 进入许可,内地学生通常需要通过学校申请 entry permit / student visa。尽早准备表格、身份证明、录取证明和资金材料，等待学校或入境处处理。,决定入读且尚未递交学生签证 / 进入许可申请。,以学校签证页面、邮件及香港入境事务处处理周期为准；不要等到临近开学才递交。,签证 / 进入许可申请表；旅行证件；录取证明；财力证明；照片；学校要求的其他文件。,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-student-visa-application,high,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-student-visa-application,2026-06-29
hkbu-apply_accommodation,HKBU,housing,申请宿舍或安排校外住宿,查询学校住宿申请窗口、资格和优先级；如校内宿舍名额有限，同时准备校外租房备选方案。,计划到港就读，且尚未提交住宿申请或确定住所。,以学校住宿页面公布的 application period / hall application deadline 为准。,student ID / application number；入学证明；住宿申请表；可能需要的紧急联系人信息。,https://sa.hkbu.edu.hk/en/accm/on-campus-accommodation/apply-for-pg-accommodation/non-local-taught-postgraduate-students.html,medium,https://sa.hkbu.edu.hk/en/accm/on-campus-accommodation/apply-for-pg-accommodation/non-local-taught-postgraduate-students.html,2026-06-29
hkbu-pay_tuition,HKBU,payment,核对并缴纳学费 / 其他费用,核对 programme tuition、缴费方式、分期安排和账单生成时间，按学校财务或学生系统要求付款。,学费账单或缴费通知已发布，且尚未完成付款。,以学校缴费页面、学生系统账单或学院邮件为准。,student ID；缴费通知；付款工具；付款凭证。,https://ar.hkbu.edu.hk/tpg-studies/current-students/academic-requirements/tuition-fees,medium,https://ar.hkbu.edu.hk/tpg-studies/current-students/academic-requirements/tuition-fees,2026-06-29
hkbu-complete_registration,HKBU,registration,完成线上注册 / 学籍激活,按学校注册指引激活学生账号、完成个人资料、上传证件或注册确认，并检查是否需要线下核验。,学校开放 registration / enrolment，且尚未完成。,以学校 registration guide、学生系统和邮件通知为准。,身份证明；旅行证件；证件照片；录取信息；学校要求上传的声明或表格。,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-registration-for-newly-admitted-students,high,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-registration-for-newly-admitted-students,2026-06-29
hkbu-prepare_arrival_orientation,HKBU,orientation,准备入境与参加 orientation,整理入境文件、住宿安排、交通和报到材料，关注 orientation / induction 活动报名与时间表。,签证 / 进入许可获批后，或开学前学校发布 orientation 安排。,以学校 orientation 页面、学院邮件和入境日期安排为准。,旅行证件；签证 / 进入许可；录取证明；住宿地址；保险 / 现金 / 电话卡等到港准备材料。,https://ar.hkbu.edu.hk/tpg-studies/current-students/orientation-information,medium,https://ar.hkbu.edu.hk/tpg-studies/current-students/orientation-information,2026-06-29
hku-accept_offer,HKU,offer_acceptance,接受 offer 并确认入读意向,登录学校申请系统或 offer letter 指定入口，按要求接受录取。若页面要求同时确认条款、上传回执或选择入学批次，需要一并完成。,收到 offer 后，且尚未完成 official acceptance。,以 offer letter、申请系统或学院邮件显示的 acceptance deadline 为准。,offer letter；申请系统账号；学校要求的接受录取确认信息。,https://admissions.hku.hk/tpg/,high,https://admissions.hku.hk/tpg/,2026-06-29
hku-pay_deposit,HKU,offer_acceptance,缴纳留位费 / admission deposit,按学校指定付款方式缴纳留位费，并保存付款成功页面、交易编号或银行凭证。,offer 条款或申请系统要求缴纳 deposit，且尚未完成付款。,通常与接受 offer 的截止日绑定；以 offer letter / portal 的金额与截止时间为准。,银行卡或汇款信息；付款凭证；application number / student ID。,https://admissions.hku.hk/tpg/,high,https://admissions.hku.hk/tpg/,2026-06-29
hku-submit_conditions,HKU,offer_acceptance,补交 conditional offer 材料,核对 conditional offer 中尚未满足的条件，提交最终成绩单、毕业证、学位证、语言成绩或官方认证文件。,offer 为 conditional，且仍有 pending condition。,以 conditional offer、学院邮件或学校系统内的 document deadline 为准。,最终成绩单；毕业证 / 学位证；语言成绩；官方认证件；学校额外要求文件。,https://admissions.hku.hk/tpg/,high,https://admissions.hku.hk/tpg/,2026-06-29
hku-apply_student_visa,HKU,visa,申请学生签证 / 进入许可,内地学生通常需要通过学校申请 entry permit / student visa。尽早准备表格、身份证明、录取证明和资金材料，等待学校或入境处处理。,决定入读且尚未递交学生签证 / 进入许可申请。,以学校签证页面、邮件及香港入境事务处处理周期为准；不要等到临近开学才递交。,签证 / 进入许可申请表；旅行证件；录取证明；财力证明；照片；学校要求的其他文件。,https://studentvisa.hku.hk/,high,https://studentvisa.hku.hk/,2026-06-29
hku-apply_accommodation,HKU,housing,申请宿舍或安排校外住宿,查询学校住宿申请窗口、资格和优先级；如校内宿舍名额有限，同时准备校外租房备选方案。,计划到港就读，且尚未提交住宿申请或确定住所。,以学校住宿页面公布的 application period / hall application deadline 为准。,student ID / application number；入学证明；住宿申请表；可能需要的紧急联系人信息。,https://housing.cedars.hku.hk/,medium,https://housing.cedars.hku.hk/,2026-06-29
hku-pay_tuition,HKU,payment,核对并缴纳学费 / 其他费用,核对 programme tuition、缴费方式、分期安排和账单生成时间，按学校财务或学生系统要求付款。,学费账单或缴费通知已发布，且尚未完成付款。,以学校缴费页面、学生系统账单或学院邮件为准。,student ID；缴费通知；付款工具；付款凭证。,https://admissions.hku.hk/tpg/,medium,https://admissions.hku.hk/tpg/,2026-06-29
hku-complete_registration,HKU,registration,完成线上注册 / 学籍激活,按学校注册指引激活学生账号、完成个人资料、上传证件或注册确认，并检查是否需要线下核验。,学校开放 registration / enrolment，且尚未完成。,以学校 registration guide、学生系统和邮件通知为准。,身份证明；旅行证件；证件照片；录取信息；学校要求上传的声明或表格。,https://ase.hku.hk/mr/mr_guide.pdf,high,https://ase.hku.hk/mr/mr_guide.pdf,2026-06-29
hku-prepare_arrival_orientation,HKU,orientation,准备入境与参加 orientation,整理入境文件、住宿安排、交通和报到材料，关注 orientation / induction 活动报名与时间表。,签证 / 进入许可获批后，或开学前学校发布 orientation 安排。,以学校 orientation 页面、学院邮件和入境日期安排为准。,旅行证件；签证 / 进入许可；录取证明；住宿地址；保险 / 现金 / 电话卡等到港准备材料。,https://www.cedars.hku.hk/non-local/orientationdaypg,medium,https://www.cedars.hku.hk/non-local/orientationdaypg,2026-06-29
hkust-accept_offer,HKUST,offer_acceptance,接受 offer 并确认入读意向,登录学校申请系统或 offer letter 指定入口，按要求接受录取。若页面要求同时确认条款、上传回执或选择入学批次，需要一并完成。,收到 offer 后，且尚未完成 official acceptance。,以 offer letter、申请系统或学院邮件显示的 acceptance deadline 为准。,offer letter；申请系统账号；学校要求的接受录取确认信息。,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/accepting-offer,high,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/accepting-offer,2026-06-29
hkust-pay_deposit,HKUST,offer_acceptance,缴纳留位费 / admission deposit,按学校指定付款方式缴纳留位费，并保存付款成功页面、交易编号或银行凭证。,offer 条款或申请系统要求缴纳 deposit，且尚未完成付款。,通常与接受 offer 的截止日绑定；以 offer letter / portal 的金额与截止时间为准。,银行卡或汇款信息；付款凭证；application number / student ID。,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/accepting-offer,high,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/accepting-offer,2026-06-29
hkust-submit_conditions,HKUST,offer_acceptance,补交 conditional offer 材料,核对 conditional offer 中尚未满足的条件，提交最终成绩单、毕业证、学位证、语言成绩或官方认证文件。,offer 为 conditional，且仍有 pending condition。,以 conditional offer、学院邮件或学校系统内的 document deadline 为准。,最终成绩单；毕业证 / 学位证；语言成绩；官方认证件；学校额外要求文件。,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/accepting-offer,high,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/accepting-offer,2026-06-29
hkust-apply_student_visa,HKUST,visa,申请学生签证 / 进入许可,内地学生通常需要通过学校申请 entry permit / student visa。尽早准备表格、身份证明、录取证明和资金材料，等待学校或入境处处理。,决定入读且尚未递交学生签证 / 进入许可申请。,以学校签证页面、邮件及香港入境事务处处理周期为准；不要等到临近开学才递交。,签证 / 进入许可申请表；旅行证件；录取证明；财力证明；照片；学校要求的其他文件。,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/applying-student-visa,high,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/applying-student-visa,2026-06-29
hkust-apply_accommodation,HKUST,housing,申请宿舍或安排校外住宿,查询学校住宿申请窗口、资格和优先级；如校内宿舍名额有限，同时准备校外租房备选方案。,计划到港就读，且尚未提交住宿申请或确定住所。,以学校住宿页面公布的 application period / hall application deadline 为准。,student ID / application number；入学证明；住宿申请表；可能需要的紧急联系人信息。,https://shrl.hkust.edu.hk/apply-for-housing/pg/tpgs-visiting-internship-students-and-mba-students,medium,https://shrl.hkust.edu.hk/apply-for-housing/pg/tpgs-visiting-internship-students-and-mba-students,2026-06-29
hkust-pay_tuition,HKUST,payment,核对并缴纳学费 / 其他费用,核对 programme tuition、缴费方式、分期安排和账单生成时间，按学校财务或学生系统要求付款。,学费账单或缴费通知已发布，且尚未完成付款。,以学校缴费页面、学生系统账单或学院邮件为准。,student ID；缴费通知；付款工具；付款凭证。,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/submitting-an-application/scholarships-and-fees,medium,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/submitting-an-application/scholarships-and-fees,2026-06-29
hkust-complete_registration,HKUST,registration,完成线上注册 / 学籍激活,按学校注册指引激活学生账号、完成个人资料、上传证件或注册确认，并检查是否需要线下核验。,学校开放 registration / enrolment，且尚未完成。,以学校 registration guide、学生系统和邮件通知为准。,身份证明；旅行证件；证件照片；录取信息；学校要求上传的声明或表格。,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/handy-resources-preparing-your-studies/handy-resources-tpg,high,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/handy-resources-preparing-your-studies/handy-resources-tpg,2026-06-29
hkust-prepare_arrival_orientation,HKUST,orientation,准备入境与参加 orientation,整理入境文件、住宿安排、交通和报到材料，关注 orientation / induction 活动报名与时间表。,签证 / 进入许可获批后，或开学前学校发布 orientation 安排。,以学校 orientation 页面、学院邮件和入境日期安排为准。,旅行证件；签证 / 进入许可；录取证明；住宿地址；保险 / 现金 / 电话卡等到港准备材料。,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/moving-to-hong-kong,medium,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/moving-to-hong-kong,2026-06-29
lingnan-accept_offer,Lingnan,offer_acceptance,接受 offer 并确认入读意向,登录学校申请系统或 offer letter 指定入口，按要求接受录取。若页面要求同时确认条款、上传回执或选择入学批次，需要一并完成。,收到 offer 后，且尚未完成 official acceptance。,以 offer letter、申请系统或学院邮件显示的 acceptance deadline 为准。,offer letter；申请系统账号；学校要求的接受录取确认信息。,https://www.ln.edu.hk/sgs/for-prospective-students/taught-postgraduate-programmes/admission-information,high,https://www.ln.edu.hk/sgs/for-prospective-students/taught-postgraduate-programmes/admission-information,2026-06-29
lingnan-pay_deposit,Lingnan,offer_acceptance,缴纳留位费 / admission deposit,按学校指定付款方式缴纳留位费，并保存付款成功页面、交易编号或银行凭证。,offer 条款或申请系统要求缴纳 deposit，且尚未完成付款。,通常与接受 offer 的截止日绑定；以 offer letter / portal 的金额与截止时间为准。,银行卡或汇款信息；付款凭证；application number / student ID。,https://www.ln.edu.hk/sgs/for-prospective-students/taught-postgraduate-programmes/admission-information,high,https://www.ln.edu.hk/sgs/for-prospective-students/taught-postgraduate-programmes/admission-information,2026-06-29
lingnan-submit_conditions,Lingnan,offer_acceptance,补交 conditional offer 材料,核对 conditional offer 中尚未满足的条件，提交最终成绩单、毕业证、学位证、语言成绩或官方认证文件。,offer 为 conditional，且仍有 pending condition。,以 conditional offer、学院邮件或学校系统内的 document deadline 为准。,最终成绩单；毕业证 / 学位证；语言成绩；官方认证件；学校额外要求文件。,https://www.ln.edu.hk/sgs/for-prospective-students/taught-postgraduate-programmes/admission-information,high,https://www.ln.edu.hk/sgs/for-prospective-students/taught-postgraduate-programmes/admission-information,2026-06-29
lingnan-apply_student_visa,Lingnan,visa,申请学生签证 / 进入许可,内地学生通常需要通过学校申请 entry permit / student visa。尽早准备表格、身份证明、录取证明和资金材料，等待学校或入境处处理。,决定入读且尚未递交学生签证 / 进入许可申请。,以学校签证页面、邮件及香港入境事务处处理周期为准；不要等到临近开学才递交。,签证 / 进入许可申请表；旅行证件；录取证明；财力证明；照片；学校要求的其他文件。,https://www.ln.edu.hk/fb/tpo/applications/information-for-non-local-applicants,high,https://www.ln.edu.hk/fb/tpo/applications/information-for-non-local-applicants,2026-06-29
lingnan-apply_accommodation,Lingnan,housing,申请宿舍或安排校外住宿,查询学校住宿申请窗口、资格和优先级；如校内宿舍名额有限，同时准备校外租房备选方案。,计划到港就读，且尚未提交住宿申请或确定住所。,以学校住宿页面公布的 application period / hall application deadline 为准。,student ID / application number；入学证明；住宿申请表；可能需要的紧急联系人信息。,https://www.ln.edu.hk/osa/student-experience/cultural-integration/planning-your-arrival/accommodation,medium,https://www.ln.edu.hk/osa/student-experience/cultural-integration/planning-your-arrival/accommodation,2026-06-29
lingnan-pay_tuition,Lingnan,payment,核对并缴纳学费 / 其他费用,核对 programme tuition、缴费方式、分期安排和账单生成时间，按学校财务或学生系统要求付款。,学费账单或缴费通知已发布，且尚未完成付款。,以学校缴费页面、学生系统账单或学院邮件为准。,student ID；缴费通知；付款工具；付款凭证。,https://www.ln.edu.hk/sgs/tpg,medium,https://www.ln.edu.hk/sgs/tpg,2026-06-29
