school,page_type,stage,url,priority,need_dynamic,remark
CityU,accommodation,housing,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,1,yes,Student residence information for master's degree students; WAF may require browser collection
CityU,tuition,payment,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes,2,yes,Programme-level tuition information; WAF may require browser collection
CityU,registration,registration,https://www.cityu.edu.hk/arro/,1,yes,Academic Registry new student enrolment and registration entry point; WAF may require browser collection
CityU,orientation,orientation,https://www.cityu.edu.hk/orientation/event/postgraduate-student-orientation,2,yes,Postgraduate student orientation page; WAF may require browser collection
CityU,faq,general,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2,yes,Postgraduate admissions FAQ; may require browser collection
PolyU,offer_holder,offer_acceptance,https://www.polyu.edu.hk/study/pg/taught-postgraduate/,1,no,Taught postgraduate admissions entry point
PolyU,visa,visa,https://www.polyu.edu.hk/ar/web/for-new-students/non-local-students/important-notes-for-non-local-students/,1,no,Visa and pre-arrival notes for non-local students
PolyU,accommodation,housing,https://www.polyu.edu.hk/sao/student-resources-and-support-section/residential-life/,1,no,Residential life and off-campus accommodation information
PolyU,tuition,payment,https://www.polyu.edu.hk/study/pg/taught-postgraduate/tuition-fees-tpg,1,no,TPG tuition fees by programme
PolyU,registration,registration,https://www.polyu.edu.hk/ar/students-in-taught-programmes/registration-information/programme-registration-enrolment/,1,no,Programme registration and enrolment
PolyU,orientation,orientation,https://www.polyu.edu.hk/sao/student-resources-and-support-section/non-local-student-services/programmes-for-nls/orientation-and-welcoming-weeks/,2,no,Orientation and welcoming weeks for non-local students
PolyU,faq,general,https://www.polyu.edu.hk/study/pg/taught-postgraduate/frequently-asked-questions-tpg,2,no,TPG admissions FAQ
HKBU,admitted_student,offer_acceptance,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-important-information,1,no,Important information for newly admitted taught postgraduate students
HKBU,visa,visa,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-student-visa-application,1,no,TPG student visa application
HKBU,accommodation,housing,https://sa.hkbu.edu.hk/en/accm/on-campus-accommodation/apply-for-pg-accommodation/non-local-taught-postgraduate-students.html,2,no,Accommodation for full-time non-local taught postgraduate students
HKBU,tuition,payment,https://ar.hkbu.edu.hk/tpg-studies/current-students/academic-requirements/tuition-fees,1,no,TPG tuition fee payment arrangements
HKBU,registration,registration,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-registration-for-newly-admitted-students,1,no,Registration for newly admitted TPG students
HKBU,orientation,orientation,https://ar.hkbu.edu.hk/tpg-studies/current-students/orientation-information,2,no,Orientation information for newly admitted TPG students
HKBU,faq,general,https://ar.hkbu.edu.hk/tpg-studies/faq/after-acceptance-of-admission-offer,2,no,TPG FAQ after acceptance of admission offer
Lingnan,admitted_student,offer_acceptance,https://www.ln.edu.hk/sgs/for-prospective-students/taught-postgraduate-programmes/admission-information,1,no,School of Graduate Studies TPG admission information
Lingnan,visa,visa,https://www.ln.edu.hk/fb/tpo/applications/information-for-non-local-applicants,1,no,Official non-local TPG applicant guidance; programme office details may differ
Lingnan,accommodation,housing,https://www.ln.edu.hk/osa/student-experience/cultural-integration/planning-your-arrival/accommodation,1,no,Office of Student Affairs accommodation information
Lingnan,tuition,payment,https://www.ln.edu.hk/sgs/tpg,2,yes,TPG programme and tuition entry point; browser rendering expands page content
Lingnan,registration,registration,https://www.ln.edu.hk/sgs/for-prospective-students/taught-postgraduate-programmes/admission-information,1,no,Admission information; final registration instructions may arrive by email
Lingnan,orientation,orientation,https://www.ln.edu.hk/osa/student-experience/cultural-integration/orientation-and-support/orientation-for-non-local-taught-postgraduate-students,2,no,Orientation for non-local TPG students
Lingnan,faq,general,https://www.ln.edu.hk/sgs/tpg/applications/faqs,2,yes,Official TPG applications FAQ; browser rendering may expand page content
EdUHK,admitted_student,offer_acceptance,https://gs.eduhk.hk/prospective/after-getting-an-offer/,1,no,Graduate School after-getting-an-offer guidance
EdUHK,visa,visa,https://gs.eduhk.hk/prospective/information-for-non-local-student/,1,yes,Non-local postgraduate visa and arrival information; browser rendering expands page content
EdUHK,accommodation,housing,https://gs.eduhk.hk/prospective/information-for-non-local-student/,1,yes,Non-local postgraduate accommodation guidance; browser rendering expands page content
EdUHK,tuition,payment,https://gs.eduhk.hk/pg-programmes-2026/application-admission.html,1,no,2026 postgraduate application admission fees and visa arrangements
EdUHK,registration,registration,https://gs.eduhk.hk/prospective/after-getting-an-offer/,1,no,After-offer registration information
EdUHK,orientation,orientation,https://gs.eduhk.hk/current/student-support/,2,no,Graduate School new student support and orientation entry point
EdUHK,faq,general,https://gs.eduhk.hk/prospective/information-for-non-local-student/,2,yes,Non-local postgraduate FAQ; browser rendering expands page content
