task_id,school,task_code,stage,task_name,review_priority,review_reason,reviewer_decision,reviewed_deadline_evidence,reviewed_document_evidence,reviewed_action_evidence,reviewed_action_urls,reviewed_fee_evidence,reviewer_notes,reviewed_at
hkust-submit_conditions,HKUST,submit_conditions,offer_acceptance,补交 conditional offer 材料,high,该任务类型容易混入 general admission FAQ，需要人工确认是否真的是 offer-holder 后续动作；仍有 2 条 review/missing 证据未处理；同一任务同时存在 10 条 keep 和 24 条 reject 证据,,"Submit relevant documents as proof as early as possible and no later than mid-July for Fall admission, or end December for Spring admission. | Refer to Document Requirements for details and tips as below: Arrange official documents to be sent before the deadline stipulated in the offer letter/ Document Checklist. | Please refer to the FYTGS website for detailed guidelines on submitting official documents before program registration.","Submit relevant documents as proof as early as possible and no later than mid-July for Fall admission, or end December for Spring admission. | Refer to Document Requirements for details and tips as below: Arrange official documents to be sent before the deadline stipulated in the offer letter/ Document Checklist. | The University may accept the following as official certified true copies only in cases where the originals of the official documents required to confirm the admission offer cannot be obtained despite all reasonable efforts or provided: (1) Copies officially imprinted, signed and certified by the issuing authority concerned, or (2) Copies that have been c...","Submit relevant documents as proof as early as possible and no later than mid-July for Fall admission, or end December for Spring admission. | Refer to Document Requirements for details and tips as below: Arrange official documents to be sent before the deadline stipulated in the offer letter/ Document Checklist. | Hard copies of the official documents are generally not accepted.",,,,
lingnan-accept_offer,Lingnan,accept_offer,offer_acceptance,接受 offer 并确认入读意向,high,有候选证据，但没有任何 keep 级可用证据；增强结果明确标记为 evidence_needs_review,,,,,,,,
lingnan-apply_accommodation,Lingnan,apply_accommodation,housing,申请宿舍或安排校外住宿,high,有候选证据，但没有任何 keep 级可用证据；增强结果明确标记为 evidence_needs_review,,,,,,,,
lingnan-pay_deposit,Lingnan,pay_deposit,offer_acceptance,缴纳留位费 / admission deposit,high,该任务类型容易混入 general admission FAQ，需要人工确认是否真的是 offer-holder 后续动作；有候选证据，但没有任何 keep 级可用证据；增强结果明确标记为 evidence_needs_review,,,,,,,,
lingnan-submit_conditions,Lingnan,submit_conditions,offer_acceptance,补交 conditional offer 材料,high,该任务类型容易混入 general admission FAQ，需要人工确认是否真的是 offer-holder 后续动作；有候选证据，但没有任何 keep 级可用证据；增强结果明确标记为 evidence_needs_review,,,,,,,,
polyu-submit_conditions,PolyU,submit_conditions,offer_acceptance,补交 conditional offer 材料,high,该任务类型容易混入 general admission FAQ，需要人工确认是否真的是 offer-holder 后续动作；仍有 3 条 review/missing 证据未处理；同一任务同时存在 10 条 keep 和 29 条 reject 证据,,"You should update your results and upload your final official transcript(s)/certificate(s) to your application on or before the date which you have specified. | Please indicate your acceptance and settle the registration fee or tuition fee before the ""last day for payment"" displayed in the Notice of Offer, and register on the programme registration date as indicated on the Notice of Offer. (For conditional offer, you need to complete the procedures for meeting the conditions stated in the Notice of Offer beforeha... | For meeting condition(s), please return to the Online Notice of Offer page via eAdmission to complete the procedures for ""Meeting Conditions"" when you have acquired the relevant qualifications on or before the ""Meet Condition Date"".","If you have not yet received your results/transcript(s)/certificate(s) when you apply, please indicate in your application the date on which they will be available. | You should update your results and upload your final official transcript(s)/certificate(s) to your application on or before the date which you have specified. | You are required to upload your identity document transcript(s)/certificate(s) in support of your qualifications and other documents (including official English translation if your documents are not in English) as specifically required for your programme choices when you submit your application.","If you have not yet received your results/transcript(s)/certificate(s) when you apply, please indicate in your application the date on which they will be available. | You should update your results and upload your final official transcript(s)/certificate(s) to your application on or before the date which you have specified. | You are required to upload your identity document transcript(s)/certificate(s) in support of your qualifications and other documents (including official English translation if your documents are not in English) as specifically required for your programme choices when you submit your application.",,,,
cuhk-accept_offer,CUHK,accept_offer,offer_acceptance,接受 offer 并确认入读意向,medium,同一任务同时存在 3 条 keep 和 1 条 reject 证据,,,"If you cannot provide document(s) to fulfil the admission condition(s) mentioned in the Admission Notification, your admission offer will be withdrawn.",Applicants can check their application status via the Online Application System for Postgraduate Programmes (https://www.gradsch.cuhk.edu.hk/OnlineApp/login_email.aspx),https://www.gradsch.cuhk.edu.hk/OnlineApp/login_email.aspx,,,
cuhk-apply_accommodation,CUHK,apply_accommodation,housing,申请宿舍或安排校外住宿,medium,同一任务同时存在 2 条 keep 和 2 条 reject 证据,,,,Visit the Postgraduate Halls website (https://www.pgh.cuhk.edu.hk) or contact them directly at enquiry@pgh.cuhk.edu.hk for more information.,https://www.pgh.cuhk.edu.hk,,,
cuhk-apply_student_visa,CUHK,apply_student_visa,visa,申请学生签证 / 进入许可,medium,仍有 2 条 review/missing 证据未处理,,The application process normally takes around 6‐8 weeks. | It is the student’s responsibility to apply for their visa/entry permit in a timely manner and to apply for extension before its expiry. | Admission Date Time to Apply 1 August At least 2 months before commencement of study 1 September At least 2 months before commencement of study 1 January At least 2 months before commencement of study,"Upon receipt of the duly completed application forms, supporting documents and payment, the Immigration Department takes around 6-8 weeks to process the applications. | View the document list at Visa Application (https://www.gs.cuhk.edu.hk/registration/visa-application) | For other overseas students: To activate the student visa, you should enter into Hong Kong with the student visa and your passport.",It is the student’s responsibility to apply for their visa/entry permit in a timely manner and to apply for extension before its expiry. | Admission Date Time to Apply 1 August At least 2 months before commencement of study 1 September At least 2 months before commencement of study 1 January At least 2 months before commencement of study | The handling fee should be settled by credit card on the Online Application System for Postgraduate Programmes (https://www.gradsch.cuhk.edu.hk/OnlineApp/login_email.aspx) .,https://www.immd.gov.hk/eng/services/right-of-abode-in-hksar.html | https://www.immd.gov.hk/eng/services/roa/term.html | https://www.immd.gov.hk/eng/index.html,,,
cuhk-complete_registration,CUHK,complete_registration,registration,完成线上注册 / 学籍激活,medium,同一任务同时存在 4 条 keep 和 4 条 reject 证据,,Non-local students are required to complete online document verification before collecting their CU Link ( Learn more (https://www.gs.cuhk.edu.hk/registration/visa-documents-submission) ).,Non-local students are required to complete online document verification before collecting their CU Link ( Learn more (https://www.gs.cuhk.edu.hk/registration/visa-documents-submission) ).,,https://culink.cuhk.edu.hk/collection-of-cu-link-student-card-for-new-postgraduates2/ | https://www.gs.cuhk.edu.hk/registration/visa-documents-submission,,,
cuhk-pay_tuition,CUHK,pay_tuition,payment,核对并缴纳学费 / 其他费用,medium,仍有 7 条 review/missing 证据未处理；同一任务同时存在 4 条 keep 和 5 条 reject 证据,,Students will receive a fee note via email about two weeks before the payment due date.,,"Students will receive a fee note via email about two weeks before the payment due date. | For details, please refer to Notes on Payment of Student Fees (https://www.fno.cuhk.edu.hk/student/student-fees/faq/)",https://www.fno.cuhk.edu.hk/student/student-fees/faq/,,,
cityu-accept_offer,CityU,accept_offer,offer_acceptance,接受 offer 并确认入读意向,medium,仍有 1 条 review/missing 证据未处理；同一任务同时存在 2 条 keep 和 4 条 reject 证据,,,,"Admission offers, if any, may be made at different times and applicants can indicate their acceptance of an alternative offer by completing the required procedures. | Applications are reviewed based on the information submitted in the year of admission, without reference to any previous unsuccessful applications.",,,,
cityu-apply_accommodation,CityU,apply_accommodation,housing,申请宿舍或安排校外住宿,medium,仍有 2 条 review/missing 证据未处理；同一任务同时存在 1 条 keep 和 2 条 reject 证据,,,,Student Accommodation Please visit our Student Residence Office (SRO) websites on Master’s degree students and/or Off-campus Accommodation for the latest information.,,,,
cityu-apply_student_visa,CityU,apply_student_visa,visa,申请学生签证 / 进入许可,medium,仍有 3 条 review/missing 证据未处理；同一任务同时存在 9 条 keep 和 3 条 reject 证据,,"If you have wrongly identified yourself as a local or non-local applicant, you should notify the Chow Yei Ching School of Graduate Studies in writing as soon as possible. | It will take 7 working days to update your status in our application system.",The definitions of non-local applicants and local applicants are set out below (with effect from Semester A 2019/20 entry): Non-local Applicants Persons holding the following documents issued by Immigration Department (IMMD) of the HKSAR are classified as non-local applicants: Student visa / entry permit; or Visa / entry permit under the Immigration Arran... | Local Applicants Persons holding any of the following documents issued by Immigration Department (IMMD) of the HKSAR are classified as local applicants: Hong Kong Identity Card (Permanent) Documents issued by IMMD showing right to land / right of abode in Hong Kong One-way permit for entry to Hong Kong Full-time employment visa / work permit (for part-tim...,The definitions of non-local applicants and local applicants are set out below (with effect from Semester A 2019/20 entry): Non-local Applicants Persons holding the following documents issued by Immigration Department (IMMD) of the HKSAR are classified as non-local applicants: Student visa / entry permit; or Visa / entry permit under the Immigration Arran... | You may login your application account for checking. | I received an offer of admission from the University and started to submit my application for a student visa.,http://www.cityu.edu.hk/admo/non-local-students/visa/student-visa,,,
cityu-pay_tuition,CityU,pay_tuition,payment,核对并缴纳学费 / 其他费用,medium,仍有 4 条 review/missing 证据未处理；同一任务同时存在 1 条 keep 和 3 条 reject 证据,,,,E - Fees / Payment,,,,
hkbu-apply_student_visa,HKBU,apply_student_visa,visa,申请学生签证 / 进入许可,medium,仍有 3 条 review/missing 证据未处理,,Please wait for this email before action. | You may upload a copy of the degree certificate to the University Student Visa Application System (https://gs-visa.hkbu.edu.hk/) by the due date specified on the Admission Offer Letter.,"Students may be required to provide the documentary proof of their eligibility to stay and study in Hong Kong when necessary. | To better prepare for your student visa application, please carefully read through the application flow chart (https://ar.hkbu.edu.hk/f/upload/5260/visa_flow_tpg.jpg) and check the documents required (https://ar.hkbu.edu.hk/tpg-studies/faq/tpg-studies/prospective-student/apply-for-student-visa) | You may upload a copy of the degree certificate to the University Student Visa Application System (https://gs-visa.hkbu.edu.hk/) by the due date specified on the Admission Offer Letter.","Please refer to your Admission Offer Letter (see Screen below) to check whether you are required to apply for a student visa. [Click to Enlarge] | Please refer to your Admission Offer Letter to check whether you are required to apply for a student visa (please refer to Q10 above). | To better prepare for your student visa application, please carefully read through the application flow chart (https://ar.hkbu.edu.hk/f/upload/5260/visa_flow_tpg.jpg) and check the documents required (https://ar.hkbu.edu.hk/tpg-studies/faq/tpg-studies/prospective-student/apply-for-student-visa)",https://gs-visa.hkbu.edu.hk/ | https://ar.hkbu.edu.hk/f/upload/5260/visa_flow_tpg.jpg | https://ar.hkbu.edu.hk/tpg-studies/faq/tpg-studies/prospective-student/apply-for-student-visa,,,
hkbu-pay_tuition,HKBU,pay_tuition,payment,核对并缴纳学费 / 其他费用,medium,仍有 2 条 review/missing 证据未处理；同一任务同时存在 2 条 keep 和 3 条 reject 证据,,,You will receive an invitation email for activating the account at the University Student Card Photo Upload System (https://arphoto.hkbu.edu.hk/) about one week after you have settled the admission confirmation fee.,You will receive an invitation email for activating the account at the University Student Card Photo Upload System (https://arphoto.hkbu.edu.hk/) about one week after you have settled the admission confirmation fee.,,,,
hku-apply_student_visa,HKU,apply_student_visa,visa,申请学生签证 / 进入许可,medium,仍有 1 条 review/missing 证据未处理,,Please note that the processing time for student visa applications is approximately 10-12 weeks.,,,,,,
hkust-apply_student_visa,HKUST,apply_student_visa,visa,申请学生签证 / 进入许可,medium,仍有 4 条 review/missing 证据未处理；同一任务同时存在 30 条 keep 和 2 条 reject 证据,,"Send us the required paper documents as soon as possible. | Approved visa/ entry permit must be activated on or before the specified date on the e-Visa. | Application period: Fall admission: March or soonest possible Spring admission: mid-October or soonest possible For exchange program, PG visiting student program and visiting internship: apply right after you have accepted the admission offer For DBA, EMBA, MBA, HKUST-NYU MSc in Global Finance: respective program offices will advise you of the details sep...",Send us the required paper documents as soon as possible. | Please refer to the Checklist of Documents Required for Visa/ Entry Permit Application for details. | Please refer to the Checklist of Documents Required for Visa/ Entry Permit Application.,Send us the required paper documents as soon as possible. | Please refer to the Checklist of Documents Required for Visa/ Entry Permit Application for details. | You can check your application status in the Visa System.,,,,
polyu-apply_student_visa,PolyU,apply_student_visa,visa,申请学生签证 / 进入许可,medium,仍有 2 条 review/missing 证据未处理；同一任务同时存在 12 条 keep 和 2 条 reject 证据,,"Therefore students have to ensure that they have adequate funds to cover tuition fees, accommodation and other expenses, including medical insurance before accepting the offer to study at PolyU. | It will normally take 8-10 weeks for the Immigration Department of HKSAR to process your application, therefore, you should complete and return the student visa application form with all the required documents to us by express post as soon as possible after you have accepted our offer.","It will normally take 8-10 weeks for the Immigration Department of HKSAR to process your application, therefore, you should complete and return the student visa application form with all the required documents to us by express post as soon as possible after you have accepted our offer. | This proof can take the form of personal or family bank letters/bank statements.","It will normally take 8-10 weeks for the Immigration Department of HKSAR to process your application, therefore, you should complete and return the student visa application form with all the required documents to us by express post as soon as possible after you have accepted our offer. | The Hong Kong Immigration Department requires all non-local students to provide proof of their ability to pay tuition fees and living expenses upon submission of their student visa applications. | You can check the latest status of your student visa application via eAdmission (https://www38.polyu.edu.hk/eAdmission/index.do) from time to time.",https://www38.polyu.edu.hk/eAdmission/index.do | https://www.polyu.edu.hk/aradm/tpg/guidelines_qualification_verification.pdf | https://www.polyu.edu.hk/study/pg/taught-postgraduate/general-information-tpg,,,
polyu-pay_tuition,PolyU,pay_tuition,payment,核对并缴纳学费 / 其他费用,medium,同一任务同时存在 1 条 keep 和 3 条 reject 证据,,,,,https://www.polyu.edu.hk/study/pg/taught-postgraduate/non-local-applicants-tpg,,,
