evidence_id,school,task_code,stage,evidence_type,source_url,source_question,confidence,text_char_count,task_keyword_hit_count,field_keyword_hit_count,source_stage_match,source_page_type,normalized_value_present,low_quality_flags,quality_score,quality_decision,notes,reviewed_at
cityu__apply_student_visa__deadline__0014_00,CityU,apply_student_visa,visa,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,What should I do if I have wrongly identified myself in my application as a local or non-local applicant?,medium,170,1,1,yes,faq,yes,,90,keep,rule checks passed,2026-06-30
cityu__apply_student_visa__deadline__0014_01,CityU,apply_student_visa,visa,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,What should I do if I have wrongly identified myself in my application as a local or non-local applicant?,medium,76,1,1,yes,faq,yes,,90,keep,rule checks passed,2026-06-30
cityu__apply_student_visa__action_instruction__0014_02,CityU,apply_student_visa,visa,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,What should I do if I have wrongly identified myself in my application as a local or non-local applicant?,medium,52,1,2,yes,faq,yes,,90,keep,rule checks passed,2026-06-30
cityu__apply_student_visa__deadline__0014_03,CityU,apply_student_visa,visa,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,What should I do if I have wrongly identified myself in my application as a local or non-local applicant?,medium,140,1,0,yes,faq,yes,field_keyword_weak,65,review,field_keyword_weak,2026-06-30
cityu__submit_conditions__deadline__0015_00,CityU,submit_conditions,offer_acceptance,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,What are the entrance requirements for admission to the University? How do I know whether I meet the entrance requirements for a particular programme?,medium,246,0,0,yes,faq,yes,task_keyword_mismatch; field_keyword_weak,15,reject,task_keyword_mismatch; field_keyword_weak,2026-06-30
cityu__pay_tuition__deadline__0022_00,CityU,pay_tuition,payment,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,I am a current CityUHK student on a master's programme. Can I apply to study for an additional programme or change my study programme at CityUHK?,medium,165,0,1,yes,faq,yes,task_keyword_mismatch,40,reject,task_keyword_mismatch,2026-06-30
cityu__pay_tuition__action_instruction__0022_01,CityU,pay_tuition,payment,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,I am a current CityUHK student on a master's programme. Can I apply to study for an additional programme or change my study programme at CityUHK?,medium,135,0,1,yes,faq,yes,task_keyword_mismatch,40,reject,task_keyword_mismatch,2026-06-30
cityu__pay_tuition__action_instruction__0022_02,CityU,pay_tuition,payment,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,I am a current CityUHK student on a master's programme. Can I apply to study for an additional programme or change my study programme at CityUHK?,medium,18,2,2,yes,faq,yes,text_too_short,70,keep,text_too_short,2026-06-30
cityu__pay_tuition__source_context__0023_00,CityU,pay_tuition,payment,source_context,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,What are the tuition fees for the 2026/27 academic year?,low,156,2,0,yes,faq,no,source_context_only,0,reject,source_context_only,2026-06-30
cityu__submit_conditions__action_instruction__0025_00,CityU,submit_conditions,offer_acceptance,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,What can I do if I have problem in getting through the online payment gateway for settling the application/acceptance fee?,medium,276,0,1,yes,faq,yes,task_keyword_mismatch,40,reject,task_keyword_mismatch,2026-06-30
cityu__submit_conditions__action_instruction__0025_01,CityU,submit_conditions,offer_acceptance,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,What can I do if I have problem in getting through the online payment gateway for settling the application/acceptance fee?,medium,57,0,1,yes,faq,yes,task_keyword_mismatch,40,reject,task_keyword_mismatch,2026-06-30
cityu__pay_tuition__action_instruction__0027_00,CityU,pay_tuition,payment,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,What should I do if I made a duplicate payment?,medium,125,1,2,yes,faq,yes,admission_noise,80,review,admission_noise,2026-06-30
cityu__pay_tuition__deadline__0027_01,CityU,pay_tuition,payment,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,What should I do if I made a duplicate payment?,medium,120,1,1,yes,faq,yes,admission_noise,80,review,admission_noise,2026-06-30
cityu__pay_tuition__action_instruction__0027_02,CityU,pay_tuition,payment,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,What should I do if I made a duplicate payment?,medium,120,1,1,yes,faq,yes,admission_noise,80,review,admission_noise,2026-06-30
cityu__submit_conditions__action_instruction__0028_00,CityU,submit_conditions,offer_acceptance,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,Is the acceptance fee refundable or transferable?,medium,154,0,0,yes,faq,yes,admission_noise; task_keyword_mismatch; field_keyword_weak,5,reject,admission_noise; task_keyword_mismatch; field_keyword_weak,2026-06-30
cityu__submit_conditions__action_instruction__0031_00,CityU,submit_conditions,offer_acceptance,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,What is an application account? How can I access it?,low,82,0,1,yes,faq,yes,task_keyword_mismatch,0,reject,task_keyword_mismatch,2026-06-30
cityu__submit_conditions__required_document__0031_01,CityU,submit_conditions,offer_acceptance,required_document,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,What is an application account? How can I access it?,low,144,0,2,yes,faq,yes,task_keyword_mismatch,0,reject,task_keyword_mismatch,2026-06-30
cityu__submit_conditions__action_instruction__0031_02,CityU,submit_conditions,offer_acceptance,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,What is an application account? How can I access it?,low,144,0,2,yes,faq,yes,task_keyword_mismatch,0,reject,task_keyword_mismatch,2026-06-30
cityu__submit_conditions__deadline__0031_03,CityU,submit_conditions,offer_acceptance,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,What is an application account? How can I access it?,low,201,0,0,yes,faq,yes,task_keyword_mismatch; field_keyword_weak,0,reject,task_keyword_mismatch; field_keyword_weak,2026-06-30
cityu__accept_offer__deadline__0034_00,CityU,accept_offer,offer_acceptance,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,Do I need to prioritise my programme choices? What should I do if I submit for more than one programme application?,medium,164,4,0,yes,faq,yes,field_keyword_weak,65,review,field_keyword_weak,2026-06-30
cityu__accept_offer__action_instruction__0034_01,CityU,accept_offer,offer_acceptance,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,Do I need to prioritise my programme choices? What should I do if I submit for more than one programme application?,medium,164,4,1,yes,faq,yes,,90,keep,rule checks passed,2026-06-30
cityu__submit_conditions__deadline__0038_00,CityU,submit_conditions,offer_acceptance,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,When should I submit the supporting documents? Can I provide additional information after I have submitted my application?,low,108,0,1,yes,faq,yes,task_keyword_mismatch,0,reject,task_keyword_mismatch,2026-06-30
cityu__submit_conditions__required_document__0038_01,CityU,submit_conditions,offer_acceptance,required_document,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,When should I submit the supporting documents? Can I provide additional information after I have submitted my application?,low,108,0,2,yes,faq,yes,task_keyword_mismatch,0,reject,task_keyword_mismatch,2026-06-30
cityu__submit_conditions__action_instruction__0038_02,CityU,submit_conditions,offer_acceptance,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,When should I submit the supporting documents? Can I provide additional information after I have submitted my application?,low,108,0,2,yes,faq,yes,task_keyword_mismatch,0,reject,task_keyword_mismatch,2026-06-30
cityu__submit_conditions__required_document__0038_03,CityU,submit_conditions,offer_acceptance,required_document,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,When should I submit the supporting documents? Can I provide additional information after I have submitted my application?,low,199,0,2,yes,faq,yes,task_keyword_mismatch,0,reject,task_keyword_mismatch,2026-06-30
cityu__submit_conditions__deadline__0042_00,CityU,submit_conditions,offer_acceptance,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,How will the information I provide in the application be used?,medium,1407,0,0,yes,faq,yes,task_keyword_mismatch; field_keyword_weak; text_too_long,5,reject,task_keyword_mismatch; field_keyword_weak; text_too_long,2026-06-30
cityu__submit_conditions__required_document__0042_01,CityU,submit_conditions,offer_acceptance,required_document,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,How will the information I provide in the application be used?,medium,1407,0,3,yes,faq,yes,task_keyword_mismatch; text_too_long,30,reject,task_keyword_mismatch; text_too_long,2026-06-30
cityu__submit_conditions__action_instruction__0042_02,CityU,submit_conditions,offer_acceptance,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,How will the information I provide in the application be used?,medium,1407,0,1,yes,faq,yes,task_keyword_mismatch; text_too_long,30,reject,task_keyword_mismatch; text_too_long,2026-06-30
cityu__accept_offer__deadline__0045_00,CityU,accept_offer,offer_acceptance,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,When will the application result be announced?,medium,129,0,0,yes,faq,yes,task_keyword_mismatch; field_keyword_weak,15,reject,task_keyword_mismatch; field_keyword_weak,2026-06-30
cityu__accept_offer__deadline__0045_01,CityU,accept_offer,offer_acceptance,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,When will the application result be announced?,medium,132,0,0,yes,faq,yes,task_keyword_mismatch; field_keyword_weak,15,reject,task_keyword_mismatch; field_keyword_weak,2026-06-30
cityu__accept_offer__deadline__0045_02,CityU,accept_offer,offer_acceptance,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,When will the application result be announced?,medium,296,0,2,yes,faq,yes,task_keyword_mismatch,40,reject,task_keyword_mismatch,2026-06-30
cityu__accept_offer__action_instruction__0045_03,CityU,accept_offer,offer_acceptance,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,When will the application result be announced?,medium,296,0,1,yes,faq,yes,task_keyword_mismatch,40,reject,task_keyword_mismatch,2026-06-30
cityu__submit_conditions__deadline__0046_00,CityU,submit_conditions,offer_acceptance,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,How will I know my application result?,medium,196,0,0,yes,faq,yes,task_keyword_mismatch; field_keyword_weak,15,reject,task_keyword_mismatch; field_keyword_weak,2026-06-30
cityu__submit_conditions__action_instruction__0046_01,CityU,submit_conditions,offer_acceptance,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,How will I know my application result?,medium,196,0,1,yes,faq,yes,task_keyword_mismatch,40,reject,task_keyword_mismatch,2026-06-30
cityu__submit_conditions__action_instruction__0046_02,CityU,submit_conditions,offer_acceptance,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,How will I know my application result?,medium,231,0,3,yes,faq,yes,task_keyword_mismatch,40,reject,task_keyword_mismatch,2026-06-30
cityu__submit_conditions__deadline__0047_00,CityU,submit_conditions,offer_acceptance,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,Can I apply for credit transfer if I am offered admission?,medium,203,0,2,yes,faq,yes,admission_noise; task_keyword_mismatch,30,reject,admission_noise; task_keyword_mismatch,2026-06-30
cityu__submit_conditions__deadline__0048_00,CityU,submit_conditions,offer_acceptance,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,I received a conditional offer letter from the University. Will I receive a further letter confirming the admission offer after I have fulfilled the conditions?,medium,175,3,2,yes,faq,yes,,90,keep,rule checks passed,2026-06-30
cityu__submit_conditions__required_document__0048_01,CityU,submit_conditions,offer_acceptance,required_document,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,I received a conditional offer letter from the University. Will I receive a further letter confirming the admission offer after I have fulfilled the conditions?,medium,175,3,1,yes,faq,yes,,90,keep,rule checks passed,2026-06-30
cityu__submit_conditions__required_document__0048_02,CityU,submit_conditions,offer_acceptance,required_document,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,I received a conditional offer letter from the University. Will I receive a further letter confirming the admission offer after I have fulfilled the conditions?,medium,322,2,1,yes,faq,yes,,90,keep,rule checks passed,2026-06-30
cityu__submit_conditions__action_instruction__0048_03,CityU,submit_conditions,offer_acceptance,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,I received a conditional offer letter from the University. Will I receive a further letter confirming the admission offer after I have fulfilled the conditions?,medium,322,2,1,yes,faq,yes,,90,keep,rule checks passed,2026-06-30
cityu__submit_conditions__required_document__0048_04,CityU,submit_conditions,offer_acceptance,required_document,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,I received a conditional offer letter from the University. Will I receive a further letter confirming the admission offer after I have fulfilled the conditions?,medium,149,2,1,yes,faq,yes,,90,keep,rule checks passed,2026-06-30
cityu__accept_offer__source_context__0049_00,CityU,accept_offer,offer_acceptance,source_context,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,"If I am offered a place at your University this year, can I defer admission to a year later?",low,254,2,0,yes,faq,no,source_context_only,0,reject,source_context_only,2026-06-30
cityu__submit_conditions__deadline__0050_00,CityU,submit_conditions,offer_acceptance,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,"I have accepted an offer of admission. When will I receive information on enrolment, class schedules and course registration?",medium,160,0,0,yes,faq,yes,task_keyword_mismatch; field_keyword_weak,15,reject,task_keyword_mismatch; field_keyword_weak,2026-06-30
cityu__submit_conditions__action_instruction__0050_01,CityU,submit_conditions,offer_acceptance,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,"I have accepted an offer of admission. When will I receive information on enrolment, class schedules and course registration?",medium,160,0,0,yes,faq,yes,task_keyword_mismatch; field_keyword_weak,15,reject,task_keyword_mismatch; field_keyword_weak,2026-06-30
cityu__submit_conditions__action_instruction__0050_02,CityU,submit_conditions,offer_acceptance,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,"I have accepted an offer of admission. When will I receive information on enrolment, class schedules and course registration?",medium,124,0,0,yes,faq,yes,task_keyword_mismatch; field_keyword_weak,15,reject,task_keyword_mismatch; field_keyword_weak,2026-06-30
cityu__accept_offer__action_instruction__0051_00,CityU,accept_offer,offer_acceptance,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,"If I decline the admission offer this year, will it affect my application next year?",medium,147,2,1,yes,faq,yes,,90,keep,rule checks passed,2026-06-30
cityu__submit_conditions__action_instruction__0053_00,CityU,submit_conditions,offer_acceptance,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,What do I need to do if I am offered admission?,medium,213,0,0,yes,faq,yes,task_keyword_mismatch; field_keyword_weak,15,reject,task_keyword_mismatch; field_keyword_weak,2026-06-30
cityu__submit_conditions__deadline__0053_01,CityU,submit_conditions,offer_acceptance,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,What do I need to do if I am offered admission?,medium,108,0,1,yes,faq,yes,task_keyword_mismatch,40,reject,task_keyword_mismatch,2026-06-30
cityu__submit_conditions__action_instruction__0053_02,CityU,submit_conditions,offer_acceptance,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,What do I need to do if I am offered admission?,medium,108,0,0,yes,faq,yes,task_keyword_mismatch; field_keyword_weak,15,reject,task_keyword_mismatch; field_keyword_weak,2026-06-30
cityu__submit_conditions__action_instruction__0054_00,CityU,submit_conditions,offer_acceptance,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,"I logged in to the application account and noted that Firm Offer' is stated in the 'Application Result'. Does it mean that I was accepted for the programme? And, if so, what are the next steps for enrolment in the programme?",medium,153,0,1,yes,faq,yes,task_keyword_mismatch,40,reject,task_keyword_mismatch,2026-06-30
cityu__submit_conditions__deadline__0054_01,CityU,submit_conditions,offer_acceptance,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,"I logged in to the application account and noted that Firm Offer' is stated in the 'Application Result'. Does it mean that I was accepted for the programme? And, if so, what are the next steps for enrolment in the programme?",medium,189,0,1,yes,faq,yes,task_keyword_mismatch,40,reject,task_keyword_mismatch,2026-06-30
cityu__submit_conditions__action_instruction__0054_02,CityU,submit_conditions,offer_acceptance,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,"I logged in to the application account and noted that Firm Offer' is stated in the 'Application Result'. Does it mean that I was accepted for the programme? And, if so, what are the next steps for enrolment in the programme?",medium,189,0,0,yes,faq,yes,task_keyword_mismatch; field_keyword_weak,15,reject,task_keyword_mismatch; field_keyword_weak,2026-06-30
cityu__submit_conditions__action_instruction__0055_00,CityU,submit_conditions,offer_acceptance,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,I received an offer letter and have accepted the offer and paid online. Could you please acknowledge receipt of my payment of the acceptance fee?,medium,154,0,1,yes,faq,yes,task_keyword_mismatch,40,reject,task_keyword_mismatch,2026-06-30
cityu__submit_conditions__action_instruction__0055_01,CityU,submit_conditions,offer_acceptance,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,I received an offer letter and have accepted the offer and paid online. Could you please acknowledge receipt of my payment of the acceptance fee?,medium,95,0,2,yes,faq,yes,task_keyword_mismatch,40,reject,task_keyword_mismatch,2026-06-30
cityu__apply_student_visa__action_url__0056_00,CityU,apply_student_visa,visa,action_url,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,Should attachment of a Cover Sheet for Transcript Submission to the transcript be required after acceptance of offer?,high,65,2,1,yes,faq,yes,,100,keep,rule checks passed,2026-06-30
cityu__apply_student_visa__required_document__0056_01,CityU,apply_student_visa,visa,required_document,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,Should attachment of a Cover Sheet for Transcript Submission to the transcript be required after acceptance of offer?,medium,75,0,1,yes,faq,yes,task_keyword_mismatch,40,reject,task_keyword_mismatch,2026-06-30
cityu__apply_student_visa__required_document__0056_02,CityU,apply_student_visa,visa,required_document,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,Should attachment of a Cover Sheet for Transcript Submission to the transcript be required after acceptance of offer?,medium,90,0,3,yes,faq,yes,task_keyword_mismatch,40,reject,task_keyword_mismatch,2026-06-30
cityu__apply_student_visa__action_instruction__0056_03,CityU,apply_student_visa,visa,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,Should attachment of a Cover Sheet for Transcript Submission to the transcript be required after acceptance of offer?,medium,90,0,0,yes,faq,yes,task_keyword_mismatch; field_keyword_weak,15,reject,task_keyword_mismatch; field_keyword_weak,2026-06-30
cityu__apply_student_visa__action_instruction__0056_04,CityU,apply_student_visa,visa,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,Should attachment of a Cover Sheet for Transcript Submission to the transcript be required after acceptance of offer?,medium,109,1,1,yes,faq,yes,,90,keep,rule checks passed,2026-06-30
cityu__apply_student_visa__action_instruction__0056_05,CityU,apply_student_visa,visa,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,Should attachment of a Cover Sheet for Transcript Submission to the transcript be required after acceptance of offer?,medium,292,4,1,yes,faq,yes,,90,keep,rule checks passed,2026-06-30
cityu__apply_accommodation__fee_amount__0057_00,CityU,apply_accommodation,housing,fee_amount,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,Can you give me an estimated cost for studying at CityUHK as a non-local student?,medium,10,0,1,yes,faq,yes,text_too_short,45,review,text_too_short,2026-06-30
cityu__apply_accommodation__fee_amount__0057_01,CityU,apply_accommodation,housing,fee_amount,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,Can you give me an estimated cost for studying at CityUHK as a non-local student?,medium,9,0,1,yes,faq,yes,text_too_short,45,review,text_too_short,2026-06-30
cityu__apply_accommodation__deadline__0057_02,CityU,apply_accommodation,housing,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,Can you give me an estimated cost for studying at CityUHK as a non-local student?,medium,229,0,0,yes,faq,yes,task_keyword_mismatch; field_keyword_weak,15,reject,task_keyword_mismatch; field_keyword_weak,2026-06-30
cityu__apply_accommodation__action_instruction__0057_03,CityU,apply_accommodation,housing,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,Can you give me an estimated cost for studying at CityUHK as a non-local student?,medium,166,2,1,yes,faq,yes,,90,keep,rule checks passed,2026-06-30
cityu__apply_accommodation__action_instruction__0057_04,CityU,apply_accommodation,housing,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,Can you give me an estimated cost for studying at CityUHK as a non-local student?,medium,55,0,1,yes,faq,yes,task_keyword_mismatch,40,reject,task_keyword_mismatch,2026-06-30
cityu__pay_tuition__action_instruction__0059_00,CityU,pay_tuition,payment,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,Why CityUHK,medium,296,1,1,yes,faq,yes,admission_noise,80,review,admission_noise,2026-06-30
cuhk__apply_accommodation__deadline__0064_00,CUHK,apply_accommodation,housing,deadline,https://www.gs.cuhk.edu.hk/admissions/faqs,Is it permissible to work while studying?,low,136,0,0,yes,faq,yes,task_keyword_mismatch; field_keyword_weak,0,reject,task_keyword_mismatch; field_keyword_weak,2026-06-30
cuhk__apply_accommodation__action_instruction__0064_01,CUHK,apply_accommodation,housing,action_instruction,https://www.gs.cuhk.edu.hk/admissions/faqs,Is it permissible to work while studying?,low,116,0,1,yes,faq,yes,task_keyword_mismatch,0,reject,task_keyword_mismatch,2026-06-30
cuhk__apply_accommodation__action_url__0065_00,CUHK,apply_accommodation,housing,action_url,https://www.gs.cuhk.edu.hk/admissions/faqs,Where can I find information about on-campus accommodation?,high,27,1,1,yes,faq,yes,text_too_short,80,keep,text_too_short,2026-06-30
cuhk__apply_accommodation__action_instruction__0065_01,CUHK,apply_accommodation,housing,action_instruction,https://www.gs.cuhk.edu.hk/admissions/faqs,Where can I find information about on-campus accommodation?,medium,140,2,1,yes,faq,yes,,90,keep,rule checks passed,2026-06-30
cuhk__submit_conditions__source_context__0067_00,CUHK,submit_conditions,offer_acceptance,source_context,https://www.gs.cuhk.edu.hk/admissions/faqs,Can bachelor's degree holders apply for doctoral programmes?,low,169,1,0,yes,faq,no,source_context_only,0,reject,source_context_only,2026-06-30
cuhk__submit_conditions__action_instruction__0068_00,CUHK,submit_conditions,offer_acceptance,action_instruction,https://www.gs.cuhk.edu.hk/admissions/faqs,Can final-year undergraduates apply?,medium,78,0,1,yes,faq,yes,task_keyword_mismatch,40,reject,task_keyword_mismatch,2026-06-30
cuhk__submit_conditions__required_document__0068_01,CUHK,submit_conditions,offer_acceptance,required_document,https://www.gs.cuhk.edu.hk/admissions/faqs,Can final-year undergraduates apply?,medium,46,1,1,yes,faq,yes,,90,keep,rule checks passed,2026-06-30
cuhk__submit_conditions__action_instruction__0068_02,CUHK,submit_conditions,offer_acceptance,action_instruction,https://www.gs.cuhk.edu.hk/admissions/faqs,Can final-year undergraduates apply?,medium,46,1,2,yes,faq,yes,,90,keep,rule checks passed,2026-06-30
cuhk__submit_conditions__required_document__0068_03,CUHK,submit_conditions,offer_acceptance,required_document,https://www.gs.cuhk.edu.hk/admissions/faqs,Can final-year undergraduates apply?,medium,88,3,2,yes,faq,yes,,90,keep,rule checks passed,2026-06-30
cuhk__submit_conditions__action_instruction__0068_04,CUHK,submit_conditions,offer_acceptance,action_instruction,https://www.gs.cuhk.edu.hk/admissions/faqs,Can final-year undergraduates apply?,medium,88,3,1,yes,faq,yes,,90,keep,rule checks passed,2026-06-30
cuhk__submit_conditions__action_url__0073_00,CUHK,submit_conditions,offer_acceptance,action_url,https://www.gs.cuhk.edu.hk/admissions/faqs,What supporting documents are needed?,low,56,0,1,yes,faq,yes,,15,reject,rule checks passed,2026-06-30
cuhk__submit_conditions__action_url__0073_01,CUHK,submit_conditions,offer_acceptance,action_url,https://www.gs.cuhk.edu.hk/admissions/faqs,What supporting documents are needed?,low,58,0,1,yes,faq,yes,,15,reject,rule checks passed,2026-06-30
cuhk__submit_conditions__required_document__0073_02,CUHK,submit_conditions,offer_acceptance,required_document,https://www.gs.cuhk.edu.hk/admissions/faqs,What supporting documents are needed?,low,146,0,1,yes,faq,yes,task_keyword_mismatch,0,reject,task_keyword_mismatch,2026-06-30
